#{"t_start": 1693406690.5862648, "env_id": "GridDroneEnv-v0"}
r,l,t
0.95,23,0.018526
0.71,23,0.030484
0.65,23,0.04396
1.14,23,0.060906
0.03,23,0.076339
0.25,23,0.0915
0.65,23,0.103599
0.03,23,0.119736
0.92,23,0.133147
0.03,23,0.146652
0.3,23,0.162512
0.06,23,0.177206
0.9,23,0.193743
0.06,23,0.209209
0.3,23,0.225778
0.03,23,0.241175
0.95,23,0.254889
0.3,23,0.268887
1.14,23,0.283592
0.9,23,0.299654
0.89,23,0.314411
0.65,23,0.330026
0.87,23,0.343943
0.87,23,0.361133
0.33,23,0.375834
0.33,23,0.391316
0.3,23,0.405576
0.89,23,0.423404
0.57,23,0.437513
0.68,23,0.454822
0.95,23,0.468656
0.9,23,0.483112
0.06,23,0.497696
0.09,23,0.513102
1.14,23,0.529485
0.3,23,0.545337
0.89,23,0.56138
0.25,23,0.57548
0.95,23,0.590205
0.95,23,0.605186
0.65,23,0.621734
1.14,23,0.63608
0.92,23,0.652967
0.68,23,0.700677
1.14,23,0.72629
0.92,23,0.745042
0.06,23,0.762574
0.33,23,0.777925
1.14,23,0.79794
0.33,23,0.816651
0.03,23,0.838375
0.95,23,0.854508
0.71,23,0.870074
0.95,23,0.884875
0.65,23,0.903436
0.27,23,0.920326
0.28,23,0.936591
0.9,23,0.953435
0.9,23,0.967939
0.92,23,0.980712
0.06,23,0.996311
0.89,23,1.008641
0.87,23,1.025639
0.89,23,1.039913
0.28,23,1.057747
1.17,23,1.072497
0.92,23,1.087556
0.65,23,1.10303
0.92,23,1.118663
1.14,23,1.133446
0.68,23,1.146861
0.3,23,1.161824
0.62,23,1.174452
0.65,23,1.189913
0.03,23,1.202983
1.17,23,1.220011
0.06,23,1.234101
0.9,23,1.247821
0.06,23,1.263493
0,23,1.276649
0.65,23,1.294516
0.92,23,1.308356
0.92,23,1.324196
0.25,23,1.337499
0.92,23,1.35417
0.27,23,1.373857
0.03,23,1.406965
0.33,23,1.427291
0.68,23,1.44552
0.03,23,2.304824
0.87,23,2.318203
0.9,23,2.335309
0.71,23,2.352216
0.89,23,2.369354
0.03,23,2.383983
0.92,23,2.399836
0.03,23,2.41417
0.03,23,2.431598
0.87,23,2.445843
0.3,23,2.462656
0.95,23,2.476715
0.87,23,2.492761
0.03,23,2.505547
0.9,23,2.520456
0.68,23,2.531621
0.06,23,2.543257
0.87,23,2.555699
0.9,23,2.566473
0.68,23,2.577198
0.33,23,2.590048
0.9,23,2.601863
0.62,23,2.612407
0.9,23,2.625487
0.55,23,2.636901
1.36,23,2.648819
0.68,23,2.663984
0.89,23,2.675453
0.27,23,2.688588
0.06,23,2.699733
1.17,23,2.71084
0.92,23,2.723781
0.71,23,2.734815
0.65,23,2.745842
0.68,23,2.759231
0.65,23,2.770237
0.03,23,2.781527
0.95,23,2.795194
1.17,23,2.805992
0.09,23,2.817951
0.89,23,2.830425
0.03,23,2.849408
0.68,23,2.862349
1.14,23,2.87302
0.65,23,2.885623
0.9,23,2.897278
0.36,23,2.908935
0.0,23,2.923059
0.68,23,2.936499
0.09,23,2.949739
0.33,23,2.962195
1.17,23,2.973512
0.25,23,2.985455
0.03,23,2.997678
0.62,23,3.016144
0.65,23,3.032852
0.93,23,3.051575
1.11,23,3.068742
1.14,23,3.085749
0.95,23,3.102589
1.14,23,3.119352
