#{"t_start": 1693150095.8418698, "env_id": "GridRoadEnv-v0"}
r,l,t
1.22,33,0.024646
0.45,33,0.040603
0.56,33,0.057801
0.62,33,0.072674
1.31,33,0.089929
0.6,33,0.106311
0.64,33,0.121292
0.67,33,0.137455
1.87,33,0.15319
0.56,33,0.167885
0.65,33,0.182981
1.9,33,0.198706
1.17,33,0.215659
0.58,33,0.231447
0.63,33,0.247861
0.66,33,0.264791
0.53,33,0.281274
0.5,33,0.297559
0.65,33,0.312844
0.73,33,0.327937
0.54,33,0.343694
1.85,33,0.359201
0.41,33,0.374251
1.13,33,0.388516
1.16,33,0.406257
1.24,33,0.420343
0.58,33,0.436181
1.23,33,0.451724
0.46,33,0.466943
0.57,33,0.482219
0.59,33,0.519045
1.25,33,0.534533
0.56,33,0.550387
0.73,33,0.565899
0.57,33,0.581616
0.55,33,0.597486
0.5,33,0.612752
1.11,33,0.628022
1.29,33,0.643996
1.28,33,0.659442
0.52,33,0.6755
1.11,33,0.690354
0.46,33,0.705264
0.63,33,0.720643
1.11,33,0.73594
0.53,33,0.751481
1.29,33,0.766799
0.58,33,0.781878
0.58,33,0.796359
1.1,33,0.811839
0.58,33,0.82739
1.11,33,0.843241
0.53,33,0.858331
1.27,33,0.872869
0.56,33,0.887677
0.64,33,0.906049
0.6,33,0.921868
0.73,33,0.936567
0.7,33,0.95185
0.57,33,0.966766
0.55,33,0.986883
0.65,33,1.002218
0.47,33,1.67293
1.04,33,1.689677
0.52,33,1.704535
1.28,33,1.719553
0.6,33,1.735148
0.5,33,1.751606
0.66,33,1.767064
1.27,33,1.782239
0.51,33,1.797206
1.21,33,1.812261
1.12,33,1.82756
0.63,33,1.843628
0.54,33,1.859495
0.4,33,1.875599
1.13,33,1.889686
0.52,33,1.904511
0.55,33,1.918779
0.68,33,1.933977
1.23,33,1.95034
0.59,33,1.965898
1.0,33,1.981442
1.13,33,1.996857
0.46,33,2.012748
0.48,33,2.027662
0.62,33,2.043766
1.13,33,2.05897
0.44,33,2.073883
1.21,33,2.089476
0.66,33,2.109286
0.56,33,2.123959
0.39,33,2.139601
1.18,33,2.154772
0.52,33,2.170573
1.17,33,2.186469
1.14,33,2.201652
1.28,33,2.217075
0.55,33,2.232255
1.21,33,2.247951
0.6,33,2.264269
1.13,33,2.278955
1.2,33,2.294749
0.65,33,2.309833
0.57,33,2.323988
1.11,33,2.338349
0.55,33,2.353149
1.26,33,2.36765
1.78,33,2.381922
1.24,33,2.396498
1.18,33,2.410933
1.2,33,2.425701
1.29,33,2.440691
1.85,33,2.455862
1.24,33,2.469082
0.43,33,2.483238
0.72,33,2.497517
1.33,33,2.512256
0.66,33,2.526937
0.49,33,2.541125
1.12,33,2.554939
1.13,33,2.577341
0.65,33,2.591842
