#{"t_start": 1693257497.8571455, "env_id": "GridRoadEnv-v0"}
r,l,t
0.64,33,0.017572
0.65,33,0.032025
0.44,33,0.045001
1.25,33,0.057123
1.85,33,0.069688
0.53,33,0.081984
0.48,33,0.09388
1.22,33,0.10606
1.14,33,0.118227
1.14,33,0.130642
1.05,33,0.142697
1.23,33,0.154747
0.56,33,0.166715
0.43,33,0.178847
1.16,33,0.190979
1.17,33,0.203102
0.68,33,0.215353
1.31,33,0.227777
0.63,33,0.24014
0.67,33,0.252634
1.25,33,0.264447
0.56,33,0.276712
1.3,33,0.288353
0.61,33,0.300347
1.08,33,0.311999
1.14,33,0.323895
0.63,33,0.335919
1.3,33,0.347708
0.49,33,0.359705
1.25,33,0.371791
1.12,33,0.399967
0.41,33,0.412072
0.5,33,0.424093
1.12,33,0.435932
1.2,33,0.447758
0.64,33,0.459522
0.65,33,0.471332
1.28,33,0.483361
0.53,33,0.495364
0.65,33,0.507508
0.66,33,0.519337
0.65,33,0.531716
0.69,33,0.543612
1.16,33,0.555398
1.21,33,0.567434
1.19,33,0.585965
0.6,33,0.608292
0.62,33,0.62911
1.17,33,0.646852
1.28,33,0.661191
1.11,33,0.673827
1.16,33,0.688132
1.23,33,0.700097
0.42,33,0.713837
0.74,33,0.72745
0.63,33,0.741274
0.55,33,0.754392
1.14,33,0.766028
0.54,33,0.780939
0.51,33,0.794057
0.61,33,0.811608
1.31,33,0.827956
1.17,33,1.397669
0.43,33,1.411475
1.18,33,1.424229
0.55,33,1.437394
0.63,33,1.4498
0.53,33,1.46314
1.23,33,1.476038
1.06,33,1.489568
1.21,33,1.502577
0.54,33,1.516084
0.59,33,1.530419
0.64,33,1.543482
1.3,33,1.556687
1.3,33,1.569378
0.59,33,1.586798
1.28,33,1.613414
0.54,33,1.626797
0.56,33,1.639923
1.22,33,1.652397
0.68,33,1.664744
1.81,33,1.678619
1.19,33,1.691664
1.27,33,1.704658
1.27,33,1.716779
0.6,33,1.730291
1.26,33,1.743464
0.68,33,1.756952
1.8,33,1.769084
1.22,33,1.785706
0.52,33,1.798654
1.31,33,1.814563
0.64,33,1.832736
1.26,33,1.849786
1.2,33,1.865227
0.65,33,1.880633
1.18,33,1.894761
0.51,33,1.907882
1.28,33,1.921005
1.79,33,1.933107
1.2,33,1.946308
1.3,33,1.959131
1.21,33,1.971269
1.22,33,1.984397
1.12,33,1.997589
0.67,33,2.010663
1.25,33,2.022586
1.17,33,2.036182
0.6,33,2.049442
1.22,33,2.062612
0.51,33,2.075222
1.8,33,2.087906
0.72,33,2.10085
1.26,33,2.114098
1.2,33,2.126861
0.62,33,2.138775
1.33,33,2.152096
1.22,33,2.165417
0.54,33,2.178438
1.21,33,2.190607
0.54,33,2.214549
1.81,33,2.228832
1.14,33,2.244304
1.82,33,2.844019
1.23,33,2.857241
0.61,33,2.869982
0.68,33,2.883411
0.38,33,2.897037
1.23,33,2.909572
0.58,33,2.922624
0.57,33,2.93599
0.55,33,2.949564
1.3,33,2.962395
1.73,33,2.97459
1.22,33,2.988016
0.59,33,3.000977
1.24,33,3.014014
0.46,33,3.027002
1.22,33,3.0398
0.6,33,3.052702
1.06,33,3.065744
0.59,33,3.078861
1.25,33,3.090794
1.24,33,3.103856
1.2,33,3.117112
0.58,33,3.13045
0.44,33,3.142358
1.93,33,3.155337
1.3,33,3.168689
1.21,33,3.1821
1.23,33,3.202434
1.2,33,3.215678
1.21,33,3.228961
1.18,33,3.240983
0.53,33,3.253948
0.47,33,3.267246
1.25,33,3.280805
0.57,33,3.292682
0.58,33,3.305731
1.14,33,3.318722
0.52,33,3.33186
0.45,33,3.344627
1.14,33,3.356769
1.17,33,3.370665
1.9,33,3.383619
1.28,33,3.396341
1.2,33,3.408457
1.15,33,3.421592
0.61,33,3.434861
1.3,33,3.448321
0.71,33,3.46099
1.27,33,3.473012
0.53,33,3.486357
0.68,33,3.499789
1.28,33,3.512513
1.17,33,3.524757
0.53,33,3.537903
1.23,33,3.551091
1.28,33,3.56459
1.12,33,3.577383
1.26,33,3.611192
0.61,33,3.62535
1.75,33,3.638895
1.25,33,3.651638
1.25,33,3.664618
0.48,33,4.244238
0.54,33,4.26035
1.81,33,4.273866
1.08,33,4.286894
0.53,33,4.300853
1.17,33,4.314536
0.65,33,4.327931
1.21,33,4.341407
1.17,33,4.354054
1.26,33,4.367569
1.21,33,4.380917
1.92,33,4.393898
0.57,33,4.406797
1.23,33,4.418739
1.1,33,4.431756
1.12,33,4.445136
1.21,33,4.458406
1.2,33,4.470443
1.16,33,4.4835
1.13,33,4.497066
1.24,33,4.51017
1.29,33,4.5226
0.53,33,4.535733
1.21,33,4.548786
1.23,33,4.562107
1.7,33,4.575064
1.2,33,4.614545
1.24,33,4.628856
0.65,33,4.642128
1.2,33,4.655216
0.59,33,4.668604
0.6,33,4.680463
1.94,33,4.69409
1.25,33,4.707756
1.12,33,4.720536
0.59,33,4.733463
1.33,33,4.747906
1.82,33,4.761516
1.21,33,4.775302
1.21,33,4.788778
0.67,33,4.801794
1.04,33,4.81373
1.09,33,4.827875
1.22,33,4.841948
0.61,33,4.855507
1.83,33,4.869386
1.19,33,4.88151
1.82,33,4.894905
0.59,33,4.908211
1.71,33,4.921777
1.24,33,4.934958
0.63,33,4.946929
0.6,33,4.960508
1.23,33,4.972808
1.26,33,4.986198
0.65,33,4.999472
1.18,33,5.019268
0.61,33,5.032892
1.3,33,5.046458
1.28,33,5.059672
1.22,33,5.071537
1.21,33,5.085053
0.69,33,5.667095
1.21,33,5.680708
1.26,33,5.693507
1.35,33,5.706547
1.85,33,5.71999
1.2,33,5.733553
1.28,33,5.747452
1.2,33,5.761033
1.89,33,5.773257
1.22,33,5.786868
1.22,33,5.799987
1.27,33,5.81326
0.68,33,5.825955
1.11,33,5.838884
1.23,33,5.852528
1.29,33,5.865722
1.24,33,5.878995
1.19,33,5.891519
1.14,33,5.904465
1.15,33,5.917588
1.14,33,5.931165
0.61,33,5.94441
1.06,33,5.95679
1.29,33,5.969947
1.85,33,5.990742
1.32,33,6.004243
1.28,33,6.017834
1.25,33,6.031196
1.21,33,6.044291
1.33,33,6.056242
1.25,33,6.069767
1.15,33,6.08303
0.58,33,6.096075
2.04,33,6.108381
1.38,33,6.121173
1.25,33,6.134671
1.88,33,6.1484
0.73,33,6.162205
1.84,33,6.174142
1.18,33,6.187572
1.28,33,6.201164
1.2,33,6.214563
1.17,33,6.227683
1.14,33,6.23943
0.69,33,6.253382
1.23,33,6.266798
1.18,33,6.280499
1.17,33,6.293681
1.25,33,6.305824
1.81,33,6.319298
1.15,33,6.333575
1.27,33,6.347344
1.91,33,6.360654
1.3,33,6.373426
1.24,33,6.38669
1.19,33,6.406312
0.66,33,6.420149
1.16,33,6.433688
1.15,33,6.447115
1.23,33,6.46036
1.29,33,6.472415
0.67,33,6.4861
1.91,33,7.07411
1.29,33,7.087635
1.3,33,7.10009
1.14,33,7.113323
1.25,33,7.126239
1.8,33,7.139009
1.93,33,7.152246
1.3,33,7.165294
1.27,33,7.178398
0.56,33,7.191513
1.22,33,7.2038
1.29,33,7.216594
1.23,33,7.229918
1.22,33,7.243212
1.25,33,7.255708
1.24,33,7.268761
1.27,33,7.282209
1.25,33,7.295552
1.27,33,7.308407
1.84,33,7.320673
1.2,33,7.333698
1.27,33,7.347688
1.9,33,7.360695
1.19,33,7.380399
1.21,33,7.393677
1.11,33,7.405866
1.22,33,7.418695
1.02,33,7.431732
0.51,33,7.444635
1.22,33,7.456608
1.09,33,7.469424
1.15,33,7.482527
1.85,33,7.495868
1.25,33,7.508439
1.27,33,7.520718
1.22,33,7.534086
1.19,33,7.547457
1.89,33,7.560839
0.66,33,7.572755
1.16,33,7.585685
1.23,33,7.610175
1.2,33,7.630392
1.17,33,7.643342
1.29,33,7.655478
1.17,33,7.668642
1.32,33,7.681007
