#{"t_start": 1693151760.94364, "env_id": "GridRoadEnv-v0"}
r,l,t
0.57,33,0.017798
1.21,33,0.034264
1.32,33,0.047522
0.55,33,0.061699
1.27,33,0.073837
0.49,33,0.086449
0.58,33,0.098531
0.62,33,0.110653
1.24,33,0.122803
0.48,33,0.137689
1.25,33,0.149925
1.78,33,0.161815
0.52,33,0.173565
0.52,33,0.185595
0.67,33,0.19773
0.61,33,0.212636
0.68,33,0.224648
1.21,33,0.236692
0.66,33,0.248613
0.54,33,0.260379
0.57,33,0.272326
0.65,33,0.284515
0.55,33,0.296692
0.6,33,0.308409
1.16,33,0.320469
0.49,33,0.333006
0.71,33,0.344944
0.44,33,0.357143
1.79,33,0.369692
1.25,33,0.382299
1.28,33,0.415551
0.6,33,0.427817
0.62,33,0.439902
1.24,33,0.45222
1.19,33,0.46453
0.51,33,0.476681
0.55,33,0.488797
0.55,33,0.500986
0.65,33,0.513277
1.19,33,0.525882
0.57,33,0.537926
0.52,33,0.549864
0.59,33,0.561936
1.16,33,0.573862
0.56,33,0.58591
0.61,33,0.597824
0.61,33,0.609657
0.63,33,0.621714
0.54,33,0.633695
0.6,33,0.645621
1.26,33,0.657603
1.19,33,0.669631
0.67,33,0.68159
0.6,33,0.69345
0.65,33,0.705583
1.28,33,0.717711
0.69,33,0.729875
0.54,33,0.741779
0.6,33,0.753823
1.32,33,0.766051
0.57,33,0.781519
0.65,33,0.793762
1.27,33,1.38097
1.31,33,1.393282
1.16,33,1.405789
0.67,33,1.418172
1.78,33,1.430572
1.13,33,1.44266
0.5,33,1.454949
1.85,33,1.467633
0.59,33,1.480053
1.27,33,1.492389
0.51,33,1.504924
1.28,33,1.517622
0.74,33,1.529924
1.26,33,1.541933
0.69,33,1.554224
1.27,33,1.566646
1.21,33,1.578657
1.29,33,1.590732
1.22,33,1.602823
1.23,33,1.614817
0.57,33,1.626806
0.62,33,1.638552
1.3,33,1.650375
0.49,33,1.662498
1.29,33,1.674582
0.56,33,1.686543
0.52,33,1.698572
1.3,33,1.710693
0.56,33,1.729651
1.28,33,1.742403
1.21,33,1.755367
1.22,33,1.768682
1.26,33,1.781932
0.72,33,1.793721
1.8,33,1.805692
0.45,33,1.817611
0.72,33,1.82991
1.91,33,1.843229
1.25,33,1.855032
0.63,33,1.866996
1.29,33,1.878873
0.52,33,1.890831
0.66,33,1.902915
0.64,33,1.9156
0.48,33,1.929296
0.59,33,1.941433
1.28,33,1.954546
0.66,33,1.968359
1.27,33,1.980609
0.55,33,1.992471
0.63,33,2.004611
1.23,33,2.016808
0.4,33,2.028425
0.62,33,2.040579
0.61,33,2.052566
0.47,33,2.064501
1.22,33,2.076321
0.38,33,2.088107
1.18,33,2.100049
1.32,33,2.11834
1.32,33,2.13018
1.32,33,2.147044
1.17,33,2.799317
1.27,33,2.814079
1.09,33,2.826366
1.03,33,2.841518
1.19,33,2.856794
1.27,33,2.872552
1.31,33,2.890052
1.2,33,2.904466
1.88,33,2.922312
1.27,33,2.945693
1.17,33,2.970067
0.57,33,2.990376
1.28,33,3.009333
0.61,33,3.0317
1.2,33,3.045012
1.27,33,3.062755
1.94,33,3.079627
1.3,33,3.092691
0.37,33,3.1061
1.13,33,3.119359
1.87,33,3.132847
1.88,33,3.145553
1.88,33,3.158361
1.24,33,3.172512
1.81,33,3.186696
0.6,33,3.19973
1.87,33,3.211931
1.12,33,3.231338
1.27,33,3.243469
1.32,33,3.255555
1.28,33,3.268138
1.27,33,3.280311
1.25,33,3.292882
0.51,33,3.305454
1.28,33,3.317852
1.2,33,3.330305
1.21,33,3.342397
1.84,33,3.354694
1.32,33,3.367147
0.69,33,3.37983
1.14,33,3.392193
0.59,33,3.404571
0.57,33,3.416824
1.8,33,3.428721
1.13,33,3.440912
1.26,33,3.453075
0.48,33,3.46525
1.23,33,3.477115
0.45,33,3.489146
0.7,33,3.501337
1.3,33,3.513278
1.27,33,3.525774
1.25,33,3.537988
0.55,33,3.550159
1.28,33,3.561898
1.1,33,3.573987
1.26,33,3.586236
1.29,33,3.60484
1.32,33,3.617153
0.57,33,3.629073
0.59,33,3.641354
1.2,33,3.653471
1.25,33,4.253982
1.31,33,4.269197
1.94,33,4.28633
1.2,33,4.302536
0.72,33,4.317009
1.23,33,4.330724
1.14,33,4.345994
0.7,33,4.360335
1.23,33,4.374679
1.18,33,4.389194
1.17,33,4.403792
1.26,33,4.417805
1.27,33,4.431969
0.63,33,4.445913
0.62,33,4.460817
1.11,33,4.475282
1.15,33,4.489834
1.2,33,4.504298
1.24,33,4.518377
0.6,33,4.531481
1.83,33,4.545784
1.89,33,4.559735
0.68,33,4.572126
1.2,33,4.584519
0.59,33,4.596514
1.04,33,4.608877
1.16,33,4.62745
1.23,33,4.63974
1.25,33,4.651994
1.17,33,4.664396
1.18,33,4.676173
1.17,33,4.688425
0.61,33,4.700726
1.22,33,4.712685
0.52,33,4.724746
1.28,33,4.737236
1.13,33,4.749655
1.26,33,4.761633
0.65,33,4.773829
1.27,33,4.78622
0.7,33,4.798407
1.21,33,4.810416
1.31,33,4.822765
1.18,33,4.835169
1.05,33,4.847753
1.22,33,4.859665
1.19,33,4.872034
1.28,33,4.884307
1.3,33,4.896245
1.14,33,4.908728
1.23,33,4.920914
1.19,33,4.932846
0.73,33,4.944811
1.38,33,4.956681
1.97,33,4.96859
1.26,33,4.980644
1.18,33,4.999692
0.61,33,5.013141
1.32,33,5.025623
1.3,33,5.03787
0.6,33,5.050438
1.21,33,5.062328
