#{"t_start": 1693153083.668087, "env_id": "GridRoadEnv-v0"}
r,l,t
1.27,33,0.018943
1.2,33,0.034063
0.21,33,0.046822
0.67,33,0.062001
1.09,33,0.076065
0.58,33,0.091353
1.16,33,0.106144
0.96,33,0.121657
0.61,33,0.135271
0.66,33,0.149887
0.53,33,0.163052
1.87,33,0.177257
1.26,33,0.192063
0.69,33,0.206253
0.58,33,0.219556
0.56,33,0.234637
0.63,33,0.248223
1.42,33,0.263059
0.34,33,0.277411
1.34,33,0.292176
1.27,33,0.306709
1.69,33,0.321711
0.33,33,0.334869
1.03,33,0.348284
0.58,33,0.362355
0.52,33,0.375784
0.61,33,0.389016
0.66,33,0.402431
1.22,33,0.414888
0.41,33,0.428337
1.33,33,0.481433
0.5,33,0.501798
0.43,33,0.515257
1.32,33,0.529141
1.41,33,0.543538
0.62,33,0.558192
1.5,33,0.571528
0.59,33,0.583991
0.77,33,0.596867
0.52,33,0.610075
0.6,33,0.622898
1.15,33,0.637458
0.8,33,0.654536
1.29,33,0.673733
0.51,33,0.688088
1.08,33,0.700496
0.32,33,0.71351
0.49,33,0.727077
0.75,33,0.739972
0.59,33,0.752623
0.35,33,0.766158
0.66,33,0.779626
0.62,33,0.792717
0.46,33,0.804804
3.66,30,0.817072
1.31,33,0.830477
0.62,33,0.844261
0.65,33,0.856533
1.25,33,0.869493
1.13,33,0.88258
1.06,33,0.902224
0.5,33,0.915082
0.63,33,1.506637
2.02,33,1.520978
1.13,33,1.536272
1.2,33,1.551136
1.21,33,1.565145
1.25,33,1.578241
1.12,33,1.593152
0.69,33,1.607597
0.7,33,1.622713
1.1,33,1.637152
0.51,33,1.652089
0.99,33,1.666606
1.2,33,1.680646
0.51,33,1.693816
0.73,33,1.708094
1.33,33,1.721885
0.73,33,1.736344
1.42,33,1.749528
1.26,33,1.763582
0.37,33,1.780758
1.32,33,1.798975
0.64,33,1.816523
0.6,33,1.833032
1.4,33,1.8507
1.19,33,1.865107
1.88,33,1.879275
0.61,33,1.893078
1.22,33,1.907105
0.64,33,1.920631
1.22,33,1.942831
0.67,33,1.956807
1.33,33,1.970595
0.69,33,1.985868
1.25,33,1.999914
1.37,33,2.01415
0.57,33,2.028883
0.57,33,2.043138
0.59,33,2.057011
1.25,33,2.069703
1.67,33,2.0841
1.73,33,2.099206
1.22,33,2.112897
1.23,33,2.126421
0.97,33,2.139079
1.18,33,2.153337
1.23,33,2.166977
0.5,33,2.180521
0.7,33,2.194291
1.22,33,2.206398
0.69,33,2.219989
1.11,33,2.234267
0.9,33,2.248076
0.68,33,2.262058
0.58,33,2.275061
1.33,33,2.288422
1.07,33,2.302495
0.7,33,2.31583
0.72,33,2.329517
0.58,33,2.342252
1.31,33,2.363401
0.72,33,2.376645
0.74,33,2.389079
1.19,33,2.982577
1.05,33,2.99777
1.19,33,3.01167
0.69,33,3.025697
1.43,33,3.039204
1.15,33,3.05279
1.38,33,3.066588
1.35,33,3.08181
1.25,33,3.09565
1.0,33,3.108048
1.94,33,3.121258
2.0,33,3.13448
0.5,33,3.147851
1.2,33,3.160346
1.29,33,3.173039
1.64,33,3.18611
0.43,33,3.199432
1.34,33,3.21218
1.12,33,3.224089
0.7,33,3.23814
0.45,33,3.251054
0.62,33,3.264243
1.71,33,3.276846
1.41,33,3.289867
1.28,33,3.303583
1.29,33,3.317183
1.19,33,3.330423
1.11,33,3.35075
1.31,33,3.364489
1.38,33,3.376732
1.9,33,3.390427
1.3,33,3.404054
1.3,33,3.418197
0.56,33,3.431284
1.4,33,3.444089
1.05,33,3.456877
1.34,33,3.469965
0.72,33,3.483266
1.3,33,3.495844
1.8,33,3.508228
1.1,33,3.521342
1.36,33,3.53486
0.53,33,3.54788
1.72,33,3.56042
1.24,33,3.57352
1.35,33,3.58659
1.09,33,3.600365
0.61,33,3.613591
1.35,33,3.625738
1.13,33,3.640517
1.18,33,3.653886
2.02,33,3.668062
0.67,33,3.681476
0.9,33,3.694052
0.68,33,3.707201
1.36,33,3.720798
0.55,33,3.734363
0.5,33,3.754509
4.44,30,3.767782
1.44,33,3.78109
1.05,33,3.79402
0.71,33,3.807571
0.6,33,4.394433
0.74,33,4.407471
1.72,33,4.420218
1.28,33,4.433006
1.33,33,4.445597
1.53,33,4.457738
1.19,33,4.469841
1.07,33,4.481708
1.29,33,4.493279
1.87,33,4.504939
1.27,33,4.516493
1.37,33,4.528438
0.59,33,4.540103
1.74,33,4.552733
1.36,33,4.564726
1.15,33,4.576672
1.21,33,4.58848
1.25,33,4.600546
1.19,33,4.612978
1.23,33,4.625
1.86,33,4.636673
1.23,33,4.648876
1.27,33,4.660906
1.22,33,4.672527
1.82,33,4.684314
1.82,33,4.696039
0.62,33,4.714878
1.28,33,4.729248
1.23,33,4.741919
1.29,33,4.753812
1.22,33,4.767648
1.27,33,4.780927
1.26,33,4.793634
1.19,33,4.805398
1.35,33,4.817368
1.65,33,4.829279
1.3,33,4.841038
1.12,33,4.852798
0.8,33,4.864588
1.32,33,4.876412
1.05,33,4.88816
0.98,33,4.901035
1.86,33,4.913083
1.0,33,4.925096
1.15,33,4.939072
0.58,33,4.952124
1.13,33,4.965103
0.78,33,4.977479
0.49,33,4.989177
1.37,33,5.001444
1.4,33,5.013483
1.51,33,5.026973
1.43,33,5.038725
0.71,33,5.050897
1.85,33,5.063085
1.22,33,5.075269
1.4,33,5.094142
0.58,33,5.105772
1.23,33,5.117883
1.28,33,5.12967
1.28,33,5.143509
1.41,33,5.157529
1.47,33,5.823476
1.65,33,5.837339
1.73,33,5.84983
1.34,33,5.864127
1.43,33,5.881531
0.63,33,5.894037
1.06,33,5.908583
1.03,33,5.922891
1.35,33,5.934699
1.06,33,5.946645
1.29,33,5.958745
0.42,33,5.970214
1.13,33,5.982146
1.31,33,5.994235
1.78,33,6.006255
0.56,33,6.018559
1.12,33,6.030559
1.13,33,6.042478
1.87,33,6.054146
1.03,33,6.06624
1.34,33,6.078307
1.52,33,6.090172
1.12,33,6.102178
1.22,33,6.114172
1.41,33,6.132705
1.34,33,6.145216
1.9,33,6.157494
1.26,33,6.169579
1.13,33,6.181568
1.35,33,6.193983
1.23,33,6.206159
1.1,33,6.218524
1.43,33,6.230738
0.27,33,6.242593
1.35,33,6.254133
1.19,33,6.266292
1.32,33,6.278562
1.39,33,6.290261
1.85,33,6.301924
1.01,33,6.313894
1.22,33,6.325825
1.23,33,6.337477
1.33,33,6.349203
1.16,33,6.360937
1.14,33,6.372721
1.26,33,6.384465
1.35,33,6.396482
1.4,33,6.409129
1.5,33,6.42097
1.11,33,6.434283
1.05,33,6.446132
1.25,33,6.457986
1.06,33,6.469794
1.09,33,6.481461
2.06,33,6.494486
1.39,33,6.512849
1.05,33,6.525005
1.31,33,6.53683
1.37,33,6.549448
1.12,33,6.562153
1.28,33,6.574076
1.17,33,6.586199
1.35,33,7.145398
1.28,33,7.157121
1.42,33,7.169394
1.22,33,7.181371
1.17,33,7.193095
1.65,33,7.204943
1.24,33,7.216671
1.46,33,7.228652
1.18,33,7.240487
1.05,33,7.252286
1.14,33,7.263991
1.08,33,7.275869
1.49,33,7.287801
1.29,33,7.299621
1.28,33,7.311181
1.19,33,7.323017
1.8,33,7.334758
1.23,33,7.346504
1.26,33,7.358952
0.77,33,7.370976
1.46,33,7.383184
1.33,33,7.395427
1.25,33,7.407363
1.29,33,7.426301
1.33,33,7.440307
1.39,33,7.452169
1.44,33,7.464275
1.18,33,7.476556
1.27,33,7.488567
0.81,33,7.500569
1.08,33,7.512928
1.41,33,7.524939
1.5,33,7.536674
1.48,33,7.548448
1.32,33,7.56023
1.28,33,7.571941
1.09,33,7.583762
1.42,33,7.595568
1.27,33,7.607209
1.35,33,7.619115
1.43,33,7.630901
1.89,33,7.642561
1.22,33,7.654435
1.17,33,7.666117
1.27,33,7.677821
1.14,33,7.689597
1.32,33,7.701689
0.62,33,7.713523
1.55,33,7.725645
1.24,33,7.737862
1.16,33,7.749714
1.19,33,7.761542
1.18,33,7.773372
1.26,33,7.791556
1.37,33,7.803582
4.53,30,7.814487
1.21,33,7.826117
1.24,33,7.837804
1.5,33,7.84939
2.07,33,7.861644
1.84,33,7.876628
1.34,33,7.889181
1.4,33,8.493102
1.88,33,8.50484
1.56,33,8.51693
1.61,33,8.52924
1.3,33,8.54107
2.05,33,8.553245
1.48,33,8.565338
1.88,33,8.577761
1.32,33,8.589538
1.91,33,8.601251
1.51,33,8.612994
1.25,33,8.624784
1.5,33,8.636503
1.26,33,8.648641
4.44,26,8.658026
1.35,33,8.669648
1.38,33,8.681623
1.1,33,8.693209
1.43,33,8.704881
1.27,33,8.716558
1.3,33,8.72874
1.48,33,8.740362
1.41,33,8.758575
1.4,33,8.770452
1.16,33,8.782493
1.31,33,8.794581
1.33,33,8.806662
1.16,33,8.81893
1.29,33,8.831231
0.59,33,8.843377
1.34,33,8.855221
1.29,33,8.867051
1.07,33,8.882991
1.26,33,8.901223
2.07,33,8.913242
1.32,33,8.92533
1.3,33,8.941919
1.48,33,8.954798
1.37,33,8.966842
1.33,33,8.978814
1.86,33,8.99198
1.31,33,9.008812
1.28,33,9.020918
1.09,33,9.033653
1.42,33,9.04721
1.39,33,9.059186
1.3,33,9.071555
1.9,33,9.085898
1.47,33,9.099217
1.48,33,9.111444
2.0,33,9.123981
1.25,33,9.135833
1.15,33,9.154681
1.78,33,9.166577
1.3,33,9.178489
1.49,33,9.190243
1.74,33,9.20229
0.58,33,9.214312
1.57,33,9.226554
1.41,33,9.239064
1.13,33,9.250942
1.25,33,9.262783
1.39,33,9.827695
1.16,33,9.839626
1.39,33,9.851329
1.25,33,9.863034
1.45,33,9.874703
1.75,33,9.887034
1.58,33,9.898798
1.2,33,9.910741
1.33,33,9.922366
1.33,33,9.933898
1.12,33,9.94547
1.53,33,9.958059
2.0,33,9.970134
1.89,33,9.982162
1.22,33,9.994127
1.41,33,10.005795
1.33,33,10.018265
1.43,33,10.031924
1.39,33,10.044796
1.36,33,10.056799
1.42,33,10.068973
1.3,33,10.0869
1.2,33,10.099108
1.16,33,10.111279
1.19,33,10.123061
1.43,33,10.135178
1.22,33,10.147414
1.83,33,10.160186
1.42,33,10.172149
1.59,33,10.184291
1.36,33,10.196236
2.13,33,10.207999
1.98,33,10.219898
1.21,33,10.231944
1.11,33,10.243767
1.93,33,10.255445
2.07,33,10.267616
1.92,33,10.279566
1.35,33,10.291371
1.16,33,10.303022
1.31,33,10.314711
1.49,33,10.326482
0.56,33,10.338321
1.24,33,10.350039
1.36,33,10.361774
2.14,33,10.373624
1.41,33,10.385244
1.34,33,10.396968
1.44,33,10.408577
1.31,33,10.420521
1.14,33,10.432224
1.38,33,10.448575
1.35,33,10.460548
0.53,33,10.472294
1.44,33,10.484228
1.52,33,10.497745
1.39,33,10.512872
1.59,33,10.526995
1.33,33,10.539471
1.24,33,10.552102
1.56,33,10.564455
1.41,33,10.576313
1.51,33,11.131802
1.29,33,11.143942
1.5,33,11.156013
1.43,33,11.169363
1.75,33,11.182957
1.26,33,11.195376
1.63,33,11.210373
1.95,33,11.225852
1.38,33,11.240722
1.88,33,11.25553
1.45,33,11.270139
1.51,33,11.284773
1.46,33,11.299218
1.17,33,11.311838
1.26,33,11.326224
1.45,33,11.341639
1.37,33,11.356494
1.92,33,11.370804
1.42,33,11.384973
1.22,33,11.403623
1.12,33,11.417434
1.51,33,11.43331
4.57,32,11.449749
1.37,33,11.463137
1.29,33,11.47687
1.51,33,11.495697
1.41,33,11.513649
1.18,33,11.531695
1.28,33,11.549852
1.23,33,11.567322
2.1,33,11.584186
1.4,33,11.599981
1.5,33,11.611831
1.51,33,11.623703
1.53,33,11.635433
1.38,33,11.647307
2.3,33,11.659118
1.54,33,11.671911
1.91,33,11.684147
1.53,33,11.696614
1.53,33,11.708267
1.23,33,11.720719
1.17,33,11.732744
4.37,20,11.74034
1.24,33,11.752306
1.29,33,11.764662
