#{"t_start": 1693258418.1804924, "env_id": "GridRoadEnv-v0"}
r,l,t
0.48,33,0.020685
1.31,33,0.036398
1.31,33,0.050084
1.32,33,0.066693
0.47,33,0.089346
0.52,33,0.111009
1.15,33,0.133612
1.1,33,0.158574
0.6,33,0.181307
1.02,33,0.200244
0.65,33,0.220775
1.27,33,0.239002
0.67,33,0.25946
0.38,33,0.279334
0.48,33,0.296133
1.35,33,0.310826
0.98,33,0.326143
1.09,33,0.34221
1.26,33,0.356925
0.63,33,0.370802
0.5,33,0.384212
1.07,33,0.398708
1.8,33,0.413559
1.14,33,0.426748
0.5,33,0.440621
0.62,33,0.45368
1.34,33,0.468511
0.62,33,0.482027
0.54,33,0.495717
1.31,33,0.508562
0.43,33,0.547277
0.48,33,0.559651
0.88,33,0.571954
0.58,33,0.58381
0.54,33,0.596092
0.53,33,0.607778
0.4,33,0.619561
0.33,33,0.631229
0.98,33,0.642937
1.22,33,0.654821
1.2,33,0.666525
0.58,33,0.67824
1.22,33,0.690073
1.4,33,0.709803
1.21,33,0.727623
1.26,33,0.746079
1.23,33,0.767601
1.32,33,0.786338
0.62,33,0.80651
0.48,33,0.825507
0.39,33,0.846072
0.79,33,0.865889
1.0,33,0.885929
1.07,33,0.90597
0.61,33,0.925
1.33,33,0.943664
0.73,33,0.962672
1.26,33,0.984925
1.06,33,1.005883
0.36,33,1.028145
1.15,33,1.047919
0.55,33,1.063633
0.32,33,1.949643
1.9,33,1.964682
1.02,33,1.978744
0.8,33,1.994675
1.11,33,2.009587
0.47,33,2.02562
0.67,33,2.041318
0.61,33,2.056544
0.96,33,2.069772
1.04,33,2.082508
0.61,33,2.096895
0.55,33,2.109549
1.16,33,2.12478
1.12,33,2.138537
1.31,33,2.15144
0.66,33,2.164842
1.91,33,2.180962
1.3,33,2.194796
0.44,33,2.209306
1.09,33,2.223512
1.39,33,2.244142
0.68,33,2.26307
0.36,33,2.281572
1.13,33,2.296619
1.73,33,2.310017
1.78,33,2.323443
1.78,33,2.335266
1.16,33,2.349694
1.03,33,2.372113
0.49,33,2.385207
1.08,33,2.399408
1.15,33,2.416977
0.65,33,2.433999
1.17,33,2.450044
1.34,33,2.465715
1.03,33,2.481354
1.18,33,2.496788
1.39,33,2.512906
0.47,33,2.53096
0.74,33,2.54635
1.17,33,2.56131
1.27,33,2.575934
0.75,33,2.593194
1.06,33,2.608572
0.49,33,2.62443
1.2,33,2.641038
1.04,33,2.656235
1.14,33,2.670123
1.11,33,2.684996
0.61,33,2.701762
0.48,33,2.71746
1.2,33,2.733004
1.31,33,2.746566
1.18,33,2.762635
0.97,33,2.777186
0.63,33,2.792325
1.8,33,2.80667
0.5,33,2.825406
0.64,33,2.842392
1.15,33,2.870501
