#{"t_start": 1693156780.0316527, "env_id": "GridRoadEnv-v0"}
r,l,t
0.42,33,0.023454
0.44,33,0.041105
0.74,33,0.063019
1.21,33,0.084764
0.5,33,0.103701
0.88,33,0.12003
2.02,33,0.140586
0.53,33,0.160018
0.43,33,0.180042
1.99,33,0.202048
0.78,33,0.222909
1.28,33,0.243999
0.44,33,0.264105
0.68,33,0.281202
0.5,33,0.298703
0.9,33,0.317083
1.08,33,0.338453
1.29,33,0.36141
0.67,33,0.379494
0.58,33,0.398803
0.79,33,0.417791
0.67,33,0.43991
0.71,33,0.465961
1.09,33,0.487554
0.43,33,0.512769
0.53,33,0.532986
1.3,33,0.553323
0.29,33,0.574988
1.02,33,0.597867
0.59,33,0.61733
0.64,33,0.668291
0.59,33,0.689168
1.08,33,0.712001
1.19,33,0.733596
0.62,33,0.754877
0.55,33,0.78245
0.81,33,0.800426
1.27,33,0.820076
0.55,33,0.842849
0.4,33,0.862441
0.79,33,0.881001
0.74,33,0.905123
1.3,33,0.931255
1.3,33,0.956917
0.73,33,0.984555
0.55,33,1.00368
0.8,33,1.030883
0.77,33,1.050503
0.63,33,1.070375
0.54,33,1.093646
1.11,33,1.115913
0.35,33,1.133843
1.07,33,1.153681
1.84,33,1.178513
1.05,33,1.196711
1.02,33,1.215136
1.14,33,1.233006
1.22,33,1.252982
1.2,33,1.274289
0.47,33,1.300583
0.68,33,1.336025
1.1,33,1.356716
0.56,33,2.271923
0.7,33,2.293164
1.03,33,2.314863
1.27,33,2.336937
0.71,33,2.361686
0.47,33,2.387526
1.22,33,2.407172
0.42,33,2.429112
0.96,33,2.448372
1.33,33,2.465657
1.19,33,2.486597
1.14,33,2.506491
0.68,33,2.528751
1.12,33,2.54807
0.53,33,2.567745
1.96,33,2.58778
0.49,33,2.609514
1.23,33,2.630047
0.64,33,2.64889
1.13,33,2.668628
0.46,33,2.685401
0.53,33,2.703108
0.65,33,2.720457
1.09,33,2.739263
0.55,33,2.7626
1.26,33,2.782568
0.65,33,2.802789
0.58,33,2.823776
0.72,33,2.854635
1.29,33,2.872959
0.78,33,2.894699
0.69,33,2.915907
0.81,33,2.93651
0.5,33,2.958233
1.03,33,2.980932
1.16,33,3.002962
0.62,33,3.023768
1.25,33,3.046919
1.09,33,3.064028
1.33,33,3.083752
1.16,33,3.10307
1.27,33,3.121799
0.71,33,3.142294
1.12,33,3.169444
1.28,33,3.189374
0.45,33,3.211643
0.54,33,3.230672
1.21,33,3.249382
1.86,33,3.267714
1.19,33,3.287605
0.95,33,3.309614
1.4,33,3.329353
0.85,33,3.347977
1.86,33,3.365855
1.13,33,3.384256
0.77,33,3.402642
0.65,33,3.421779
1.33,33,3.446948
1.21,33,3.465018
0.59,33,3.493493
0.65,33,3.513703
1.37,33,3.532036
0.68,33,4.393157
0.62,33,4.412183
1.18,33,4.431231
0.58,33,4.450014
1.15,33,4.466169
1.26,33,4.484839
0.71,33,4.505362
0.64,33,4.524896
1.12,33,4.543271
0.64,33,4.565587
1.15,33,4.583147
1.22,33,4.603843
1.14,33,4.624607
1.05,33,4.644259
1.16,33,4.662364
1.15,33,4.679315
1.09,33,4.696769
1.07,33,4.716817
1.24,33,4.73481
0.66,33,4.755421
1.38,33,4.780871
1.79,33,4.798564
1.4,33,4.818869
0.62,33,4.838706
1.84,33,4.857116
1.29,33,4.878298
0.82,33,4.899286
1.34,33,4.933925
0.77,33,4.953388
1.86,33,4.972492
1.01,33,4.99448
1.12,33,5.015044
0.78,33,5.040391
0.64,33,5.063535
1.32,33,5.087441
1.28,33,5.109406
1.03,33,5.13656
0.84,33,5.15869
1.88,33,5.186904
1.11,33,5.209796
1.12,33,5.234298
1.15,33,5.255972
1.3,33,5.27781
1.81,33,5.307651
1.41,33,5.334163
0.57,33,5.355781
0.44,33,5.374962
1.33,33,5.395478
1.01,33,5.418606
1.21,33,5.439015
0.9,33,5.459966
1.34,33,5.482254
1.72,33,5.501796
1.12,33,5.521264
0.59,33,5.543543
1.19,33,5.567134
0.51,33,5.585186
1.27,33,5.616621
1.23,33,5.635912
0.59,33,5.655203
1.14,33,5.673539
0.58,33,5.693737
1.47,33,6.596167
1.98,33,6.616465
1.17,33,6.636142
1.18,33,6.654597
1.33,33,6.6728
0.94,33,6.696323
1.91,33,6.715521
1.24,33,6.732463
1.25,33,6.750746
1.2,33,6.769286
1.28,33,6.786934
0.63,33,6.804843
1.2,33,6.825361
0.57,33,6.845788
0.43,33,6.863983
1.06,33,6.887149
1.89,33,6.914398
1.29,33,6.932229
1.36,33,6.948103
1.16,33,6.969778
1.29,33,6.990033
0.42,33,7.009573
1.06,33,7.033092
1.26,33,7.050498
0.62,33,7.068277
1.97,33,7.090624
1.18,33,7.119535
1.37,33,7.140345
1.18,33,7.162393
1.71,33,7.18037
0.6,33,7.199031
1.88,33,7.217621
0.6,33,7.236017
1.22,33,7.255253
1.24,33,7.274403
1.42,33,7.294765
1.34,33,7.313184
1.9,33,7.330547
1.27,33,7.348619
1.38,33,7.368032
1.82,33,7.385808
1.22,33,7.404748
1.74,33,7.425734
1.42,33,7.449939
1.34,33,7.468298
1.17,33,7.486355
1.13,33,7.504169
0.76,33,7.523711
1.71,33,7.545386
1.27,33,7.56715
1.44,33,7.587173
1.17,33,7.607988
1.34,33,7.631963
1.3,33,7.650844
1.18,33,7.66749
1.21,33,7.688853
1.18,33,7.718709
0.59,33,7.737978
0.57,33,7.768606
1.17,33,7.795384
1.19,33,7.816886
1.15,33,7.833736
1.43,33,8.739788
1.25,33,8.75918
1.24,33,8.778878
1.04,33,8.799546
1.7,33,8.822377
1.36,33,8.844757
1.02,33,8.862536
1.12,33,8.883182
1.11,33,8.901229
1.45,33,8.920018
1.06,33,8.941514
1.15,33,8.961535
1.28,33,8.981979
1.95,33,8.999915
0.59,33,9.022687
1.36,33,9.043613
1.29,33,9.061809
1.18,33,9.083503
1.04,33,9.104098
1.25,33,9.122491
1.7,33,9.140621
1.28,33,9.163093
1.86,33,9.182597
1.79,33,9.201134
1.86,33,9.233791
0.97,33,9.253443
1.22,33,9.270346
1.25,33,9.291347
1.3,33,9.30915
1.33,33,9.327677
1.15,33,9.350207
1.32,33,9.375925
1.92,33,9.394209
1.77,33,9.415742
0.99,33,9.434936
1.44,33,9.454436
1.27,33,9.472738
1.07,33,9.49371
1.32,33,9.515177
1.19,33,9.533209
1.14,33,9.551637
1.05,33,9.570659
0.98,33,9.591182
1.13,33,9.612968
1.24,33,9.635323
1.17,33,9.653923
0.52,33,9.67177
1.23,33,9.692495
1.03,33,9.712388
1.38,33,9.731318
1.19,33,9.749476
1.22,33,9.768301
1.16,33,9.785554
1.12,33,9.804495
0.6,33,9.824587
1.82,33,9.8542
1.34,33,9.872301
2.02,33,9.89496
0.62,33,9.919208
1.2,33,9.936025
1.37,33,9.953493
1.04,33,9.973769
1.37,33,10.898254
1.37,33,10.921023
1.18,33,10.941612
1.16,33,10.966485
1.3,33,10.986719
1.68,33,11.007612
1.31,33,11.027781
1.11,33,11.052182
1.41,33,11.073848
0.46,33,11.100075
1.3,33,11.122216
1.35,33,11.14469
1.31,33,11.168953
1.9,33,11.194919
1.98,33,11.218089
1.26,33,11.243842
1.21,33,11.268603
0.67,33,11.292444
1.08,33,11.321041
1.33,33,11.342352
1.02,33,11.368144
2.1,33,11.387478
1.38,33,11.409234
1.13,33,11.443435
1.35,33,11.468031
1.39,33,11.487665
0.92,33,11.508674
1.1,33,11.532011
1.27,33,11.5528
1.18,33,11.574069
1.3,33,11.599952
1.09,33,11.619353
1.21,33,11.641203
1.11,33,11.665504
1.12,33,11.685853
1.19,33,11.707091
1.47,33,11.728887
1.71,33,11.749286
1.24,33,11.770277
0.58,33,11.790017
1.1,33,11.812666
1.13,33,11.838378
1.19,33,11.86539
1.31,33,11.885133
1.21,33,11.903886
1.02,33,11.924444
1.54,33,11.945236
1.22,33,11.965491
1.12,33,11.984087
1.24,33,12.003386
1.27,33,12.022358
1.19,33,12.044689
1.15,33,12.06651
1.28,33,12.097384
1.27,33,12.118421
1.67,33,12.137165
1.24,33,12.159966
1.33,33,12.179472
1.15,33,12.20036
1.05,33,12.217685
0.58,33,12.238418
1.18,33,12.260618
1.4,33,13.158195
1.68,33,13.178252
2.07,33,13.197146
1.37,33,13.220882
1.42,33,13.239249
1.32,33,13.260738
1.86,33,13.278943
1.33,33,13.297272
1.37,33,13.318178
1.9,33,13.341336
1.12,33,13.361444
1.74,33,13.378548
1.31,33,13.39636
1.16,33,13.417544
1.16,33,13.440928
1.97,33,13.464015
1.37,33,13.483424
1.11,33,13.50452
1.26,33,13.525802
1.34,33,13.543091
1.17,33,13.561877
1.96,33,13.591144
1.33,33,13.61099
1.25,33,13.629581
1.25,33,13.649622
1.34,33,13.666593
1.39,33,13.683203
1.35,33,13.704526
0.69,33,13.728243
1.28,33,13.747135
1.26,33,13.767126
1.15,33,13.784259
1.45,33,13.802868
1.04,33,13.822608
1.34,33,13.844816
0.65,33,13.863856
1.98,33,13.885149
1.07,33,13.903262
1.24,33,13.922798
1.43,33,13.942893
1.3,33,13.963058
1.74,33,13.98459
1.8,33,14.002833
1.16,33,14.024966
1.92,33,14.041264
1.87,33,14.064664
1.2,33,14.087744
1.2,33,14.110646
1.22,33,14.128212
1.47,33,14.146875
1.39,33,14.170411
1.65,33,14.190169
1.85,33,14.220197
1.2,33,14.241133
1.03,33,14.259056
1.37,33,14.279649
1.86,33,14.298003
1.48,33,14.318477
1.25,33,14.340141
1.35,33,14.36241
1.23,33,14.3808
0.97,33,14.401597
1.91,33,15.273105
1.08,33,15.293911
1.37,33,15.312039
1.08,33,15.331197
1.89,33,15.348719
1.11,33,15.371513
1.08,33,15.390904
1.72,33,15.407879
1.38,33,15.426895
1.11,33,15.447978
1.21,33,15.467946
1.9,33,15.486379
1.08,33,15.506337
1.76,33,15.525827
1.12,33,15.545476
1.99,33,15.566474
1.19,33,15.583711
1.15,33,15.600422
1.82,33,15.618332
1.32,33,15.637724
1.29,33,15.668425
1.04,33,15.687212
1.24,33,15.711474
1.08,33,15.731858
1.47,33,15.751519
1.41,33,15.769155
1.2,33,15.790028
1.14,33,15.811378
1.3,33,15.830958
1.23,33,15.849139
1.41,33,15.867509
1.18,33,15.887949
1.1,33,15.909232
1.11,33,15.929608
1.5,33,15.950131
1.35,33,15.968826
1.52,33,15.986546
1.27,33,16.004252
1.27,33,16.027117
1.15,33,16.047113
1.13,33,16.063914
1.24,33,16.08284
1.09,33,16.105282
1.14,33,16.126498
1.43,33,16.144337
1.83,33,16.163934
1.94,33,16.182697
1.83,33,16.20512
1.42,33,16.229979
1.89,33,16.252666
1.23,33,16.280076
1.15,33,16.298648
1.46,33,16.320031
1.4,33,16.340111
1.26,33,16.367955
1.41,33,16.391944
1.17,33,16.410298
0.5,33,16.430572
1.37,33,16.449529
1.3,33,16.470875
1.27,33,16.496641
1.32,33,16.520073
1.83,33,17.492291
1.23,33,17.51138
1.31,33,17.534607
1.21,33,17.557602
1.2,33,17.583938
1.31,33,17.607293
1.57,33,17.628711
2.01,33,17.6566
1.12,33,17.678592
2.22,33,17.703207
1.18,33,17.725843
1.27,33,17.749152
2.01,33,17.776105
1.4,33,17.794587
1.76,33,17.816456
1.83,33,17.837867
1.76,33,17.857886
1.46,33,17.877855
1.3,33,17.896114
