#{"t_start": 1693261702.549693, "env_id": "GridRoadEnv-v0"}
r,l,t
0.53,33,0.017276
0.44,33,0.032376
0.49,33,0.045196
0.41,33,0.058946
1.8,33,0.072116
1.09,33,0.085305
0.53,33,0.099139
1.14,33,0.112312
0.36,33,0.124549
0.57,33,0.138019
1.14,33,0.152493
0.54,33,0.165566
1.13,33,0.178678
0.44,33,0.192105
1.09,33,0.206339
0.52,33,0.220534
0.47,33,0.235565
1.14,33,0.249075
0.38,33,0.260881
0.46,33,0.274805
0.42,33,0.289046
1.1,33,0.302287
1.16,33,0.316095
0.48,33,0.329682
0.57,33,0.342117
1.23,33,0.355454
0.47,33,0.368845
0.33,33,0.381871
0.55,33,0.394537
0.49,33,0.408984
1.04,33,0.446152
0.53,33,0.45912
1.15,33,0.472435
1.09,33,0.48718
1.13,33,0.501207
1.13,33,0.514206
1.13,33,0.528425
1.11,33,0.541445
0.48,33,0.555863
0.55,33,0.569017
1.12,33,0.582261
1.12,33,0.595217
1.11,33,0.609533
0.4,33,0.623084
0.5,33,0.636129
0.42,33,0.649955
0.51,33,0.66319
0.52,33,0.67573
1.1,33,0.689915
0.48,33,0.704162
1.15,33,0.717738
0.5,33,0.730332
0.48,33,0.743053
0.43,33,0.75651
1.17,33,0.777708
1.21,33,0.802293
0.54,33,0.81522
0.48,33,0.828335
0.41,33,0.841063
0.47,33,0.85412
0.51,33,0.876072
0.61,33,0.889129
1.1,33,1.453012
1.1,33,1.466294
1.25,33,1.483793
1.13,33,1.501732
1.81,33,1.520013
1.18,33,1.538454
0.34,33,1.554519
1.74,33,1.57057
1.12,33,1.582935
1.09,33,1.596974
1.23,33,1.612642
0.48,33,1.625257
1.18,33,1.639354
0.97,33,1.653482
0.53,33,1.66656
1.1,33,1.680999
1.15,33,1.69579
1.15,33,1.709523
1.77,33,1.722899
1.12,33,1.737761
1.17,33,1.751248
1.78,33,1.7667
0.5,33,1.792429
0.56,33,1.80777
0.56,33,1.822421
0.52,33,1.836134
0.58,33,1.849724
0.43,33,1.862366
1.16,33,1.88439
0.53,33,1.897511
1.79,33,1.910924
0.47,33,1.924942
1.71,33,1.939708
1.04,33,1.952791
0.43,33,1.967165
1.14,33,1.980623
0.47,33,1.993718
1.82,33,2.008172
1.13,33,2.022166
1.18,33,2.035705
1.06,33,2.0494
0.38,33,2.062886
1.03,33,2.075409
1.16,33,2.089752
0.45,33,2.103666
1.18,33,2.117461
1.06,33,2.130202
1.18,33,2.142766
0.45,33,2.156927
0.54,33,2.171406
0.41,33,2.185079
1.71,33,2.198108
0.54,33,2.210612
1.23,33,2.224194
1.76,33,2.23851
1.21,33,2.253224
1.15,33,2.267257
1.79,33,2.280877
0.55,33,2.294082
1.71,33,2.317623
1.1,33,2.330599
0.33,33,2.343889
1.16,33,2.930097
1.79,33,2.943347
1.21,33,2.956612
1.75,33,2.971317
1.16,33,2.98425
1.14,33,2.99704
0.4,33,3.011208
1.08,33,3.026518
1.07,33,3.041969
1.19,33,3.055238
1.19,33,3.068543
0.51,33,3.081151
1.73,33,3.094314
0.99,33,3.10841
1.13,33,3.12185
1.17,33,3.134845
1.03,33,3.146978
1.1,33,3.159596
1.76,33,3.173116
1.15,33,3.187873
1.1,33,3.200743
0.39,33,3.213001
1.11,33,3.225891
1.09,33,3.240716
0.4,33,3.253792
