#{"t_start": 1693565118.8602698, "env_id": "GridRoadEnv-v0"}
r,l,t
1.8,33,0.018703
0.24,33,0.034753
1.07,33,0.050665
1.17,33,0.065168
1.05,33,0.085383
1.11,33,0.101213
1.08,33,0.117912
0.37,33,0.134034
0.44,33,0.149294
0.55,33,0.164975
0.48,33,0.180613
0.24,33,0.196913
0.57,33,0.211975
0.41,33,0.227182
1.07,33,0.24271
0.41,33,0.25883
0.45,33,0.275186
0.42,33,0.290575
0.4,33,0.306077
0.4,33,0.321532
1.16,33,0.337383
0.45,33,0.352687
1.06,33,0.367727
1.18,33,0.383483
1.0,33,0.399185
1.05,33,0.416154
0.41,33,0.433378
0.4,33,0.45042
0.44,33,0.465146
0.34,33,0.481071
0.53,33,0.520855
1.12,33,0.536207
1.12,33,0.55135
0.43,33,0.567993
0.31,33,0.584041
0.41,33,0.601731
1.04,33,0.619079
0.37,33,0.63483
0.38,33,0.651894
0.35,33,0.667591
0.44,33,0.683362
0.65,33,0.698661
0.28,33,0.712818
0.96,33,0.72917
1.07,33,0.746486
0.46,33,0.761454
0.99,33,0.777628
0.43,33,0.79419
0.41,33,0.809783
0.97,33,0.825259
0.29,33,0.840749
0.48,33,0.857603
0.41,33,0.872436
1.06,33,0.889058
0.29,33,0.905949
0.84,33,0.922507
1.13,33,0.937608
1.06,33,0.95278
1.08,33,0.967949
0.99,33,0.983529
0.36,33,1.003665
0.4,33,1.018722
1.15,33,1.66158
1.05,33,1.677752
0.38,33,1.693681
1.21,33,1.710204
0.51,33,1.727501
1.11,33,1.743669
1.09,33,1.75851
0.99,33,1.773875
0.89,33,1.789171
1.08,33,1.803816
1.16,33,1.818642
0.39,33,1.835273
1.13,33,1.850192
1.07,33,1.865324
0.47,33,1.880796
0.52,33,1.896276
1.1,33,1.911217
1.19,33,1.926308
1.02,33,1.941329
0.33,33,1.958726
1.01,33,1.975394
0.96,33,1.992709
0.34,33,2.008168
0.36,33,2.024374
0.32,33,2.041156
0.44,33,2.057887
0.33,33,2.073443
1.11,33,2.090595
0.34,33,2.116648
0.38,33,2.134863
1.09,33,2.150546
1.08,33,2.165662
1.0,33,2.180407
0.61,33,2.196056
0.41,33,2.210935
0.27,33,2.226355
0.39,33,2.242501
0.52,33,2.257742
0.54,33,2.273615
1.13,33,2.288829
1.13,33,2.305559
1.02,33,2.321146
0.43,33,2.337352
1.8,33,2.352618
1.08,33,2.367417
0.34,33,2.383404
1.09,33,2.400008
1.11,33,2.41608
0.34,33,2.431088
1.09,33,2.44681
0.43,33,2.462052
1.08,33,2.477531
1.12,33,2.493179
1.05,33,2.510037
0.44,33,2.526497
0.41,33,2.542158
1.08,33,2.557101
0.36,33,2.572164
1.08,33,2.587533
1.1,33,2.610564
0.24,33,2.626175
0.39,33,2.642797
1.1,33,3.289213
1.08,33,3.30506
0.94,33,3.320654
1.08,33,3.336055
1.0,33,3.351608
1.81,33,3.367834
0.51,33,3.384278
0.98,33,3.405265
1.17,33,3.425621
1.1,33,3.447063
0.32,33,3.467544
0.99,33,3.486457
1.08,33,3.504829
1.14,33,3.519532
1.17,33,3.536189
0.86,33,3.551983
0.95,33,3.567109
1.17,33,3.582918
1.02,33,3.598272
1.14,33,3.613639
0.96,33,3.62939
1.74,33,3.644169
1.66,33,3.659721
1.02,33,3.674512
1.76,33,3.690881
1.14,33,3.715171
1.08,33,3.736856
1.0,33,3.760864
1.07,33,3.777049
0.96,33,3.795773
1.15,33,3.812913
1.12,33,3.82934
0.97,33,3.84498
1.02,33,3.862189
1.08,33,3.880956
0.47,33,3.898985
1.06,33,3.91738
1.0,33,3.932597
1.04,33,3.947308
0.93,33,3.962824
1.04,33,3.979273
1.18,33,3.995282
1.12,33,4.01136
1.19,33,4.027677
1.06,33,4.042515
1.1,33,4.061918
1.1,33,4.077723
0.32,33,4.093979
1.03,33,4.109703
0.94,33,4.125694
1.14,33,4.141539
1.11,33,4.155773
0.35,33,4.175938
1.09,33,4.190485
1.04,33,4.205392
1.06,33,4.222429
1.01,33,4.237983
0.32,33,4.261748
0.31,33,4.277701
1.19,33,4.292216
0.97,33,4.308675
1.01,33,4.32437
1.03,33,4.983186
1.15,33,4.999042
1.03,33,5.015024
1.1,33,5.034795
1.19,33,5.054899
1.06,33,5.070428
1.13,33,5.087363
1.21,33,5.111763
1.15,33,5.143675
1.08,33,5.165783
0.96,33,5.180397
1.07,33,5.195898
1.02,33,5.212679
1.16,33,5.237169
0.38,33,5.259547
1.24,33,5.281309
1.19,33,5.296838
0.62,33,5.311904
1.01,33,5.327033
1.04,33,5.342221
1.16,33,5.358483
1.1,33,5.373662
1.08,33,5.390052
1.05,33,5.405216
1.27,33,5.419269
1.18,33,5.43494
1.16,33,5.459846
1.1,33,5.481069
1.12,33,5.497464
1.12,33,5.514076
1.3,33,5.528505
0.42,33,5.543777
0.44,33,5.558281
0.35,33,5.571674
1.76,33,5.587595
1.04,33,5.60435
1.03,33,5.619852
1.06,33,5.634883
0.28,33,5.649431
1.25,33,5.663985
0.91,33,5.678934
1.11,33,5.694275
1.11,33,5.710161
1.08,33,5.724886
1.1,33,5.739187
1.0,33,5.753815
1.15,33,5.76862
1.06,33,5.784021
1.05,33,5.799794
0.95,33,5.815019
1.03,33,5.830906
0.48,33,5.847715
0.99,33,5.863625
0.94,33,5.878851
1.13,33,5.894075
1.12,33,5.9097
1.11,33,5.935747
1.17,33,5.952442
1.13,33,5.969416
1.06,33,5.985988
1.07,33,6.002672
1.25,33,6.021484
1.05,33,6.731166
0.98,33,6.748018
1.09,33,6.764485
1.12,33,6.780594
1.1,33,6.79708
1.16,33,6.810975
1.06,33,6.823321
1.08,33,6.835465
1.14,33,6.847776
1.22,33,6.859821
0.45,33,6.871918
1.02,33,6.884066
1.07,33,6.896405
1.06,33,6.909009
1.14,33,6.921389
1.02,33,6.934222
1.09,33,6.946601
1.02,33,6.958633
1.07,33,6.973545
1.01,33,6.988623
1.0,33,7.00083
1.11,33,7.013731
1.13,33,7.026079
1.06,33,7.038304
1.18,33,7.053277
0.46,33,7.065751
1.02,33,7.077827
1.07,33,7.090089
1.14,33,7.102538
0.93,33,7.115074
1.14,33,7.127793
1.0,33,7.140032
1.05,33,7.153631
1.11,33,7.16785
1.09,33,7.189885
0.96,33,7.203447
1.13,33,7.217712
1.03,33,7.234675
1.2,33,7.258044
0.47,33,7.283898
1.19,33,7.311291
0.9,33,7.328522
1.04,33,7.34648
1.09,33,7.364164
1.05,33,7.38411
1.03,33,7.403329
1.2,33,7.420433
1.15,33,7.435152
0.83,33,7.450175
0.84,33,7.464795
0.96,33,7.479785
1.05,33,7.495018
1.07,33,7.510178
1.02,33,7.524844
1.07,33,7.539651
1.14,33,7.561598
1.14,33,7.576338
1.74,33,7.590844
1.1,33,7.606216
1.13,33,7.620925
1.12,33,7.636184
0.44,33,7.651302
0.96,33,8.488991
1.04,33,8.503765
1.18,33,8.518884
1.07,33,8.533526
1.17,33,8.546592
1.08,33,8.561611
1.16,33,8.579597
1.13,33,8.599009
1.05,33,8.619751
0.96,33,8.641021
1.01,33,8.657743
1.1,33,8.6728
1.01,33,8.687821
0.96,33,8.703516
1.05,33,8.72447
1.11,33,8.742211
0.94,33,8.760581
