#{"t_start": 1693567165.9872673, "env_id": "GridRoadEnv-v0"}
r,l,t
1.04,33,0.020984
0.31,33,0.040346
1.0,33,0.05906
1.14,33,0.075476
0.43,33,0.093484
1.09,33,0.110506
1.11,33,0.128007
1.07,33,0.149269
1.01,33,0.169775
0.28,33,0.191932
1.21,33,0.212448
0.43,33,0.232705
0.49,33,0.252729
0.43,33,0.272851
0.52,33,0.292539
1.22,33,0.313983
0.49,33,0.333375
0.55,33,0.35552
1.06,33,0.37436
1.21,33,0.393223
1.08,33,0.414636
1.06,33,0.435319
0.45,33,0.453224
1.21,33,0.469723
0.38,33,0.48845
1.13,33,0.505196
0.51,33,0.522693
0.4,33,0.541357
1.18,33,0.559643
0.41,33,0.581049
0.97,33,0.62525
0.25,33,0.641505
1.16,33,0.659984
0.43,33,0.679014
1.06,33,0.696092
1.17,33,0.715729
0.44,33,0.73429
0.37,33,0.753295
0.39,33,0.770335
1.06,33,0.788224
1.16,33,0.804575
1.18,33,0.829646
0.52,33,0.853387
0.41,33,0.878671
0.52,33,0.902627
1.14,33,0.924668
0.4,33,0.948743
1.12,33,0.973124
0.3,33,0.996747
0.54,33,1.019741
1.12,33,1.048341
0.39,33,1.076055
0.37,33,1.099758
0.44,33,1.125672
0.51,33,1.148364
1.18,33,1.172319
0.47,33,1.195704
1.07,33,1.218968
0.38,33,1.245807
1.1,33,1.269167
1.08,33,1.29849
0.44,33,1.319601
1.08,33,2.256411
0.39,33,2.278821
0.43,33,2.297613
0.42,33,2.313326
0.42,33,2.329216
1.18,33,2.347384
0.3,33,2.361821
0.97,33,2.37657
0.94,33,2.390688
0.49,33,2.405181
0.39,33,2.42025
0.99,33,2.434927
1.21,33,2.450614
1.19,33,2.463957
1.02,33,2.481762
1.14,33,2.495169
1.02,33,2.512268
0.44,33,2.525376
0.36,33,2.541496
1.25,33,2.556028
0.34,33,2.573028
1.11,33,2.588431
1.16,33,2.602793
1.08,33,2.618011
0.43,33,2.635101
1.17,33,2.65073
1.2,33,2.66411
0.33,33,2.683023
0.52,33,2.701376
0.47,33,2.717753
0.4,33,2.732913
0.49,33,2.749316
1.04,33,2.763239
0.96,33,2.78021
1.83,33,2.794969
0.46,33,2.812775
0.32,33,2.832531
1.17,33,2.852166
1.3,33,2.87038
0.37,33,2.888567
0.43,33,2.908038
0.31,33,2.930609
0.53,33,2.953876
1.12,33,2.975189
0.97,33,2.990668
0.35,33,3.007983
1.05,33,3.025893
0.45,33,3.044504
1.15,33,3.061604
0.99,33,3.082715
1.11,33,3.101089
1.03,33,3.11847
1.15,33,3.135653
1.02,33,3.152343
0.29,33,3.170401
1.05,33,3.187617
1.14,33,3.205111
1.07,33,3.221927
1.16,33,3.236983
0.48,33,3.256234
0.48,33,3.27099
0.47,33,3.285815
1.07,33,4.114356
0.61,33,4.127433
0.51,33,4.143316
3.59,32,4.157549
0.39,33,4.171533
1.21,33,4.186523
0.4,33,4.201272
1.01,33,4.217821
0.57,33,4.233518
1.19,33,4.249542
0.6,33,4.26254
1.15,33,4.277394
1.1,33,4.290823
1.08,33,4.306173
0.28,33,4.322553
3.59,32,4.337903
1.3,33,4.352301
0.99,33,4.366888
1.14,33,4.381336
0.48,33,4.394361
1.13,33,4.407995
1.15,33,4.42361
1.13,33,4.437903
1.02,33,4.452625
0.38,33,4.465573
1.06,33,4.481548
3.62,29,4.493196
0.43,33,4.51703
0.44,33,4.531233
1.16,33,4.545102
0.54,33,4.55891
0.95,33,4.573065
0.38,33,4.589177
1.06,33,4.605362
0.39,33,4.620508
1.8,33,4.633795
0.53,33,4.649832
1.0,33,4.663512
0.39,33,4.679472
1.12,33,4.693192
1.24,33,4.708005
1.17,33,4.723345
1.11,33,4.73717
1.08,33,4.75131
0.97,33,4.764782
1.09,33,4.780887
0.44,33,4.796197
1.02,33,4.81545
1.06,33,4.833595
1.04,33,4.85126
1.16,33,4.869145
0.44,33,4.887034
1.05,33,4.904451
1.17,33,4.921361
1.28,33,4.939022
1.0,33,4.95471
1.06,33,4.970724
1.07,33,4.987126
0.4,33,5.010762
0.38,33,5.0265
0.38,33,5.042057
0.97,33,5.057601
1.08,33,5.844135
1.15,33,5.857974
0.56,33,5.87202
0.62,33,5.886436
3.57,29,5.898747
1.19,33,5.914384
3.7,33,5.92794
1.11,33,5.941861
1.01,33,5.956136
1.08,33,5.971031
1.19,33,5.985049
1.01,33,5.998595
1.2,33,6.012774
1.12,33,6.026583
0.33,33,6.040798
1.07,33,6.055413
1.11,33,6.069441
1.1,33,6.084696
1.11,33,6.098154
1.03,33,6.112989
0.45,33,6.12614
1.08,33,6.140553
1.06,33,6.15553
1.24,33,6.169916
0.42,33,6.18484
1.03,33,6.198439
1.83,33,6.221085
1.02,33,6.234939
1.04,33,6.250126
0.99,33,6.263109
1.11,33,6.277353
1.06,33,6.29128
1.01,33,6.305271
0.32,33,6.319953
1.05,33,6.335635
1.03,33,6.350342
1.03,33,6.364664
1.11,33,6.378735
0.31,33,6.392484
0.34,33,6.406554
0.4,33,6.421433
1.09,33,6.435602
0.57,33,6.450474
1.02,33,6.463693
1.26,33,6.478576
0.46,33,6.492302
0.37,33,6.505539
1.1,33,6.520095
1.02,33,6.533565
1.03,33,6.548775
0.98,33,6.562658
0.37,33,6.575721
0.54,33,6.591051
1.02,33,6.604733
1.05,33,6.619793
1.18,33,6.633076
1.16,33,6.652288
1.04,33,6.665693
1.03,33,6.681193
1.01,33,6.694783
0.98,33,6.709036
1.05,33,6.723437
1.3,33,7.517745
1.11,33,7.531609
1.04,33,7.546218
1.12,33,7.559768
1.16,33,7.57349
0.99,33,7.587676
1.15,33,7.601774
1.0,33,7.617221
0.99,33,7.630408
1.01,33,7.643649
0.61,33,7.658582
0.44,33,7.671778
1.09,33,7.686548
0.38,33,7.699924
1.13,33,7.71525
0.37,33,7.728675
1.01,33,7.741964
0.61,33,7.756768
1.11,33,7.771175
0.91,33,7.785375
1.18,33,7.798811
1.02,33,7.812739
1.06,33,7.827412
1.24,33,7.841748
0.43,33,7.8556
0.93,33,7.873298
1.09,33,7.887494
1.11,33,7.900996
1.16,33,7.91571
0.36,33,7.931572
1.16,33,7.947918
0.97,33,7.961773
1.1,33,7.975687
1.11,33,7.99067
1.03,33,8.004614
1.05,33,8.019121
1.03,33,8.032392
0.41,33,8.047546
1.23,33,8.06093
1.04,33,8.074457
1.08,33,8.089097
1.23,33,8.103633
0.93,33,8.118745
1.09,33,8.132335
1.03,33,8.148043
1.03,33,8.161466
0.44,33,8.176008
1.16,33,8.190498
0.99,33,8.204605
1.11,33,8.219424
0.97,33,8.23247
0.87,33,8.247063
1.05,33,8.261076
1.15,33,8.275189
1.0,33,8.289597
1.05,33,8.307727
1.08,33,8.321964
0.98,33,8.337397
1.0,33,8.352867
0.98,33,8.36723
1.06,33,8.382948
1.18,33,8.395935
1.02,33,9.169909
1.01,33,9.185387
1.21,33,9.1999
1.1,33,9.214458
0.97,33,9.228081
