#{"t_start": 1693565924.3682256, "env_id": "GridRoadEnv-v0"}
r,l,t
1.0,33,0.018554
1.1,33,0.034588
1.15,33,0.050138
0.49,33,0.064109
1.12,33,0.080947
1.11,33,0.094063
1.09,33,0.109347
1.19,33,0.126022
1.02,33,0.141957
0.33,33,0.157637
3.56,30,0.171675
1.1,33,0.187113
0.31,33,0.202725
0.49,33,0.21906
0.43,33,0.234001
0.44,33,0.249237
1.2,33,0.265447
0.51,33,0.280114
0.51,33,0.296525
1.13,33,0.311625
0.4,33,0.326463
1.26,33,0.34168
1.11,33,0.358285
0.42,33,0.374639
1.02,33,0.390758
0.3,33,0.406268
1.03,33,0.422103
1.19,33,0.43728
1.08,33,0.454333
0.45,33,0.469147
0.52,33,0.505526
0.51,33,0.520302
0.47,33,0.536541
0.49,33,0.551559
1.08,33,0.566447
0.44,33,0.583545
1.05,33,0.599712
0.27,33,0.616389
0.96,33,0.632893
0.49,33,0.648257
0.4,33,0.663586
1.14,33,0.679762
0.47,33,0.69511
0.43,33,0.710791
0.49,33,0.726231
0.34,33,0.74271
0.34,33,0.758698
0.46,33,0.774324
0.44,33,0.790895
0.9,33,0.807669
0.45,33,0.823927
1.01,33,0.840115
1.3,33,0.858214
0.48,33,0.875551
1.17,33,0.898235
0.32,33,0.914714
0.42,33,0.931495
0.52,33,0.948445
1.2,33,0.964294
1.03,33,0.979979
0.44,33,1.006532
1.04,33,1.022575
0.35,33,1.763227
1.11,33,1.77871
0.96,33,1.794283
1.06,33,1.811064
0.3,33,1.827908
0.5,33,1.844039
0.47,33,1.859329
0.49,33,1.874535
0.31,33,1.889618
1.07,33,1.905215
0.49,33,1.921266
0.39,33,1.936686
1.22,33,1.952476
1.11,33,1.968163
0.99,33,1.983866
1.21,33,1.999165
0.27,33,2.014467
0.99,33,2.031659
1.02,33,2.047331
0.66,33,2.063292
0.4,33,2.078028
1.2,33,2.094505
0.43,33,2.110192
1.0,33,2.126304
0.37,33,2.141831
4.17,20,2.152686
1.14,33,2.168207
1.15,33,2.183722
0.56,33,2.199747
0.46,33,2.221259
1.18,33,2.238538
0.4,33,2.253935
0.42,33,2.269538
1.0,33,2.285006
0.99,33,2.301006
0.47,33,2.318384
0.37,33,2.336268
1.17,33,2.353106
0.42,33,2.368514
1.07,33,2.384177
1.14,33,2.398816
1.06,33,2.41478
0.45,33,2.431779
0.54,33,2.448003
1.11,33,2.46517
1.12,33,2.482577
1.17,33,2.498841
0.96,33,2.516103
1.0,33,2.533508
0.35,33,2.549795
1.08,33,2.566176
1.08,33,2.583461
1.14,33,2.601343
0.52,33,2.617343
0.98,33,2.633833
1.76,33,2.649142
0.95,33,2.66441
1.06,33,2.680027
0.38,33,2.695312
1.27,33,2.716122
1.03,33,2.733007
1.0,33,2.750874
0.54,33,3.402743
1.03,33,3.420201
1.12,33,3.436149
0.41,33,3.452508
1.19,33,3.468438
1.21,33,3.484611
0.98,33,3.505697
0.98,33,3.528598
1.29,33,3.551094
0.44,33,3.571953
1.0,33,3.591015
1.09,33,3.605711
1.11,33,3.622048
0.47,33,3.637554
0.46,33,3.653823
1.08,33,3.670261
1.06,33,3.684799
1.14,33,3.7
0.48,33,3.71635
1.17,33,3.732939
1.21,33,3.748996
1.18,33,3.764878
0.47,33,3.780599
0.52,33,3.797604
0.54,33,3.813721
1.09,33,3.830219
1.05,33,3.846059
0.45,33,3.861654
1.12,33,3.881626
1.22,33,3.897203
1.16,33,3.911967
1.08,33,3.926395
1.15,33,3.942355
0.23,33,3.959759
0.42,33,3.976298
0.68,33,3.991369
0.47,33,4.006233
1.74,33,4.020916
0.46,33,4.036
1.34,33,4.053541
0.37,33,4.070182
1.19,33,4.085773
1.21,33,4.101604
1.05,33,4.117231
1.1,33,4.133043
1.1,33,4.149651
1.18,33,4.166109
1.12,33,4.18187
0.31,33,4.198696
1.0,33,4.216212
1.14,33,4.231447
1.13,33,4.246608
1.12,33,4.261989
1.01,33,4.278214
0.47,33,4.295531
1.03,33,4.311952
0.4,33,4.326259
0.4,33,4.340793
0.97,33,4.359937
0.39,33,4.375735
1.15,33,4.391362
0.47,33,4.408087
1.16,33,5.061236
0.37,33,5.076202
1.09,33,5.091758
0.55,33,5.106543
0.39,33,5.121703
1.06,33,5.138369
1.05,33,5.155283
1.12,33,5.1709
0.44,33,5.1857
0.49,33,5.20079
0.57,33,5.215504
1.19,33,5.231935
1.09,33,5.248453
1.01,33,5.263651
1.0,33,5.278444
1.05,33,5.292999
1.11,33,5.308268
0.43,33,5.323826
0.54,33,5.340225
0.37,33,5.356337
0.96,33,5.372087
1.08,33,5.387767
0.99,33,5.403616
1.03,33,5.418507
0.38,33,5.433172
1.14,33,5.448119
0.96,33,5.467397
0.45,33,5.483172
1.16,33,5.498744
1.05,33,5.514318
1.16,33,5.530388
0.46,33,5.54709
1.05,33,5.562078
0.44,33,5.577437
1.04,33,5.593056
1.17,33,5.609339
1.08,33,5.625813
1.18,33,5.641685
0.73,33,5.65649
0.43,33,5.671297
1.2,33,5.688305
1.15,33,5.703789
0.42,33,5.719502
1.18,33,5.735647
0.9,33,5.751998
1.07,33,5.767521
1.06,33,5.783315
0.48,33,5.800071
1.07,33,5.815025
1.09,33,5.8315
4.09,12,5.837054
1.8,33,5.853705
1.11,33,5.86879
0.38,33,5.883906
1.07,33,5.899229
0.99,33,5.914515
1.02,33,5.929975
1.05,33,5.954669
0.96,33,5.970088
1.12,33,5.985547
1.1,33,5.999799
1.09,33,6.014496
1.01,33,6.029869
1.06,33,6.671842
1.01,33,6.686749
0.98,33,6.70239
0.53,33,6.723901
1.15,33,6.742545
0.41,33,6.758822
0.46,33,6.774261
0.97,33,6.791599
1.09,33,6.809009
0.94,33,6.823826
0.5,33,6.839192
0.4,33,6.853017
0.96,33,6.868208
1.33,33,6.883002
0.47,33,6.897737
1.24,33,6.912481
1.23,33,6.927518
1.06,33,6.942748
1.27,33,6.957701
1.19,33,6.972588
0.99,33,6.986679
0.46,33,7.002121
1.09,33,7.017949
0.95,33,7.032856
1.27,33,7.056627
0.38,33,7.071617
1.25,33,7.086331
1.12,33,7.100446
1.13,33,7.116615
1.11,33,7.131754
1.07,33,7.146932
1.1,33,7.162486
1.06,33,7.177447
1.23,33,7.193013
0.35,33,7.208324
1.01,33,7.223822
1.13,33,7.238781
1.14,33,7.254613
1.16,33,7.269985
1.29,33,7.287304
1.27,33,7.303595
1.14,33,7.318753
1.2,33,7.334413
0.88,33,7.349896
1.22,33,7.3666
1.17,33,7.383447
1.01,33,7.399142
1.17,33,7.414113
1.07,33,7.429853
1.09,33,7.445357
1.18,33,7.461747
1.9,33,7.477351
1.01,33,7.492577
0.96,33,7.508127
1.12,33,7.523534
1.04,33,7.549094
1.14,33,7.564193
1.14,33,7.581129
1.18,33,7.598053
0.48,33,7.61386
0.86,33,7.629459
1.13,33,7.64472
1.2,33,8.293347
1.13,33,8.307627
1.09,33,8.323893
1.15,33,8.341854
1.05,33,8.359861
1.08,33,8.379426
1.13,33,8.39556
1.01,33,8.410111
1.2,33,8.42543
0.89,33,8.440526
1.01,33,8.455671
1.1,33,8.470694
1.06,33,8.487992
1.15,33,8.503622
1.09,33,8.518966
1.12,33,8.534823
1.22,33,8.550496
0.95,33,8.566021
1.08,33,8.581531
1.1,33,8.598289
0.5,33,8.613767
0.55,33,8.628852
0.98,33,8.64383
1.12,33,8.668064
1.17,33,8.682859
1.1,33,8.696974
1.1,33,8.711921
1.13,33,8.727274
1.09,33,8.742154
0.93,33,8.756686
1.3,33,8.771113
1.14,33,8.786623
1.13,33,8.801665
1.82,33,8.817329
1.14,33,8.832749
1.01,33,8.84806
1.08,33,8.862784
1.13,33,8.879559
1.11,33,8.896661
1.06,33,8.911848
1.05,33,8.92825
0.49,33,8.944139
1.12,33,8.958972
0.95,33,8.973233
1.07,33,8.987977
0.94,33,9.003142
1.01,33,9.019157
0.4,33,9.034649
3.59,26,9.047638
1.13,33,9.063914
1.09,33,9.078756
1.01,33,9.094528
1.1,33,9.109585
1.06,33,9.135071
0.99,33,9.15114
1.22,33,9.16748
1.08,33,9.184566
4.23,24,9.196773
1.18,33,9.213646
1.07,33,9.227911
1.08,33,9.243856
0.54,33,9.260296
0.53,33,9.900978
1.05,33,9.919673
1.18,33,9.936299
1.09,33,9.952661
1.02,33,9.965344
1.09,33,9.982949
4.15,18,9.992315
1.11,33,10.007179
1.04,33,10.021579
1.02,33,10.038072
0.99,33,10.054384
0.31,33,10.070034
