#{"t_start": 1693263607.8996243, "env_id": "GridRoadEnv-v0"}
r,l,t
0.53,33,0.026909
1.15,33,0.046824
0.47,33,0.064715
0.55,33,0.083162
0.4,33,0.102161
0.55,33,0.127471
0.48,33,0.151301
0.52,33,0.176455
0.51,33,0.201036
0.49,33,0.224164
0.46,33,0.250338
1.13,33,0.27714
4.28,31,0.301191
1.21,33,0.321555
1.01,33,0.340931
1.11,33,0.359133
0.51,33,0.379001
0.46,33,0.401643
1.07,33,0.41898
0.41,33,0.439538
0.53,33,0.456655
0.5,33,0.473926
0.43,33,0.496103
0.4,33,0.514807
0.53,33,0.537588
1.1,33,0.555087
1.13,33,0.571513
0.48,33,0.589978
0.47,33,0.609889
0.46,33,0.627087
1.06,33,0.676893
1.11,33,0.697577
0.44,33,0.718122
0.51,33,0.735041
0.52,33,0.753753
1.21,33,0.770406
0.55,33,0.786692
1.12,33,0.802302
1.08,33,0.819346
0.46,33,0.835497
1.08,33,0.85045
0.47,33,0.864749
0.4,33,0.87887
0.54,33,0.892822
1.07,33,0.905737
0.44,33,0.923137
1.07,33,0.938983
1.22,33,0.960046
0.43,33,0.987793
1.11,33,1.014557
1.06,33,1.030254
0.54,33,1.048265
0.55,33,1.062037
1.08,33,1.075745
0.42,33,1.096627
0.39,33,1.112257
0.58,33,1.127277
0.62,33,1.143082
1.03,33,1.15796
1.74,33,1.172571
0.47,33,1.200792
1.08,33,1.22016
1.74,33,2.354498
0.4,33,2.373529
1.09,33,2.390414
0.39,33,2.406626
1.02,33,2.42413
0.95,33,2.441623
0.58,33,2.459208
1.03,33,2.475435
0.97,33,2.492331
0.55,33,2.510648
0.53,33,2.529459
1.19,33,2.550223
1.14,33,2.571348
1.78,33,2.588243
1.13,33,2.60618
1.2,33,2.624498
1.12,33,2.643061
0.46,33,2.65841
0.46,33,2.67752
4.3,31,2.693439
1.08,33,2.712702
0.51,33,2.730348
0.48,33,2.750867
1.2,33,2.766812
1.7,33,2.784798
0.5,33,2.799713
0.48,33,2.816703
0.58,33,2.831242
1.12,33,2.8476
0.56,33,2.868432
0.53,33,2.883581
1.07,33,2.89718
0.52,33,2.91186
0.96,33,2.925414
1.05,33,2.944021
0.46,33,2.958207
0.47,33,2.985212
1.17,33,3.005896
1.16,33,3.021146
1.13,33,3.036759
0.47,33,3.052177
1.03,33,3.066465
0.48,33,3.080081
1.12,33,3.098433
1.17,33,3.114172
1.07,33,3.129304
0.39,33,3.143821
1.06,33,3.15914
1.76,33,3.174928
1.11,33,3.190868
0.53,33,3.207751
1.18,33,3.222234
1.08,33,3.236342
1.11,33,3.250844
1.19,33,3.26585
1.07,33,3.279033
0.45,33,3.294096
0.49,33,3.307539
1.67,33,3.322819
1.19,33,3.350564
0.3,33,3.366439
0.55,33,3.379874
1.12,33,4.337946
1.15,33,4.356722
0.5,33,4.373631
1.16,33,4.390901
0.44,33,4.408496
1.86,33,4.431358
1.18,33,4.449277
1.09,33,4.467081
0.41,33,4.487167
1.11,33,4.505107
1.12,33,4.524815
1.07,33,4.541588
1.82,33,4.558728
0.99,33,4.576224
1.06,33,4.598289
1.17,33,4.618325
1.15,33,4.637701
1.02,33,4.657147
1.12,33,4.675989
0.47,33,4.697987
1.18,33,4.720381
1.71,33,4.741363
1.78,33,4.767437
1.15,33,4.792098
0.98,33,4.812229
1.14,33,4.836978
0.44,33,4.855532
1.05,33,4.888399
1.08,33,4.908157
1.17,33,4.928605
1.13,33,4.951027
1.08,33,4.972486
0.6,33,5.006941
0.5,33,5.0251
1.05,33,5.043021
1.17,33,5.059536
1.01,33,5.073186
0.95,33,5.100139
1.06,33,5.116968
0.42,33,5.130871
0.51,33,5.145474
1.15,33,5.159764
0.96,33,5.174222
1.13,33,5.189469
1.12,33,5.204483
1.06,33,5.219717
1.72,33,5.234731
1.12,33,5.251318
1.16,33,5.267109
1.05,33,5.283695
1.02,33,5.298732
1.04,33,5.315024
1.04,33,5.327965
0.5,33,5.343566
0.43,33,5.358993
1.81,33,5.374685
1.12,33,5.389627
0.56,33,5.411538
1.08,33,5.425562
1.06,33,5.442082
1.16,33,5.457863
1.12,33,5.47347
0.47,33,6.336899
1.11,33,6.355078
1.72,33,6.37127
1.16,33,6.386222
1.81,33,6.400856
1.81,33,6.417601
1.2,33,6.432267
1.83,33,6.447375
1.12,33,6.461453
0.5,33,6.475448
1.02,33,6.490164
1.2,33,6.505313
0.36,33,6.518786
1.84,33,6.531787
1.78,33,6.549357
1.23,33,6.56337
1.16,33,6.578249
0.54,33,6.594127
1.16,33,6.610095
1.16,33,6.624479
1.15,33,6.63881
1.8,33,6.652876
1.11,33,6.668633
1.13,33,6.682987
1.19,33,6.69677
1.11,33,6.712657
1.1,33,6.739425
1.16,33,6.757266
1.11,33,6.773538
0.4,33,6.78751
1.03,33,6.80284
1.2,33,6.817048
1.13,33,6.830528
1.78,33,6.845501
1.18,33,6.859289
1.18,33,6.872609
1.17,33,6.887008
1.16,33,6.903022
1.14,33,6.918292
1.16,33,6.93483
1.11,33,6.950441
1.03,33,6.969512
1.07,33,7.001863
1.03,33,7.025845
1.15,33,7.050626
1.13,33,7.076353
1.14,33,7.104595
1.1,33,7.132067
1.14,33,7.159907
1.04,33,7.186272
1.15,33,7.212449
1.14,33,7.233322
1.74,33,7.257762
1.69,33,7.281047
0.48,33,7.301925
1.13,33,7.321434
1.77,33,7.34896
1.18,33,7.366099
1.23,33,7.382714
1.11,33,7.398311
1.14,33,7.413475
1.11,33,7.42654
1.08,33,8.259102
1.07,33,8.275489
1.12,33,8.292878
1.05,33,8.309211
1.72,33,8.32499
1.15,33,8.342954
1.77,33,8.359027
1.73,33,8.375511
1.16,33,8.392554
1.81,33,8.406814
0.55,33,8.424271
1.2,33,8.439634
1.08,33,8.456435
0.9,33,8.471246
0.6,33,8.486552
1.18,33,8.503331
1.11,33,8.521314
1.79,33,8.536761
1.19,33,8.551639
1.8,33,8.56761
0.5,33,8.585299
0.55,33,8.598146
1.19,33,8.618908
1.15,33,8.631714
1.78,33,8.653222
1.18,33,8.666664
1.11,33,8.679336
1.17,33,8.69321
1.1,33,8.70698
1.78,33,8.720922
1.2,33,8.734287
1.18,33,8.748887
1.17,33,8.763071
1.12,33,8.776805
1.18,33,8.791792
1.06,33,8.804332
1.77,33,8.819206
1.14,33,8.833634
1.75,33,8.850833
1.14,33,8.864008
1.18,33,8.878244
1.17,33,8.892591
1.72,33,8.906478
1.11,33,8.920569
0.39,33,8.933088
1.1,33,8.946747
1.18,33,8.96049
1.08,33,8.973091
0.32,33,8.989052
1.24,33,9.002792
1.16,33,9.018696
1.14,33,9.03174
1.12,33,9.045033
1.23,33,9.059071
1.18,33,9.081786
1.23,33,9.117618
1.19,33,9.131309
1.18,33,9.151647
1.2,33,9.16536
1.18,33,9.178832
1.78,33,9.193798
1.3,33,9.206918
1.13,33,10.108901
1.11,33,10.124172
1.8,33,10.138024
1.78,33,10.152312
1.75,33,10.165311
1.15,33,10.180281
1.2,33,10.195472
1.81,33,10.212444
1.08,33,10.22818
1.17,33,10.241165
1.22,33,10.259898
1.08,33,10.281781
1.72,33,10.318463
1.82,33,10.351422
1.21,33,10.376899
1.27,33,10.400507
1.19,33,10.424659
1.7,33,10.449476
1.22,33,10.476679
1.12,33,10.499739
1.74,33,10.523343
1.15,33,10.550076
0.97,33,10.575161
1.11,33,10.61608
1.17,33,10.641507
1.14,33,10.665641
1.2,33,10.691467
1.16,33,10.714975
1.7,33,10.740366
1.81,33,10.7662
1.12,33,10.790247
1.11,33,10.814638
1.13,33,10.839305
1.69,33,10.865396
1.12,33,10.890673
1.76,33,10.916094
1.12,33,10.941269
1.15,33,10.967488
1.75,33,10.993108
1.18,33,11.018829
1.16,33,11.041469
1.2,33,11.056919
1.23,33,11.079722
1.22,33,11.113841
1.67,33,11.137875
1.18,33,11.1573
1.71,33,11.176375
1.06,33,11.193248
1.8,33,11.210539
4.31,33,11.231484
1.16,33,11.254407
1.75,33,11.280053
1.01,33,11.304793
0.97,33,11.341789
1.8,33,11.367289
1.09,33,11.389695
1.21,33,11.414458
1.14,33,11.438636
1.06,33,11.464303
1.69,33,11.488813
0.46,33,11.512729
1.11,33,11.53707
1.17,33,12.563597
1.82,33,12.579283
1.06,33,12.593645
1.78,33,12.60938
1.07,33,12.622117
1.21,33,12.637153
1.14,33,12.655366
1.74,33,12.672448
1.14,33,12.689686
1.16,33,12.704798
1.18,33,12.718719
1.74,33,12.735534
1.14,33,12.749982
1.12,33,12.764009
1.76,33,12.779855
