#{"t_start": 1693325981.2986395, "env_id": "GridRoadEnv-v0"}
r,l,t
0.67,80,0.035038
0.61,80,0.06586
0.58,80,0.097402
0.73,80,0.128716
0.71,80,0.160395
0.65,80,0.197006
0.65,80,0.229303
0.63,80,0.260027
1.26,80,0.290547
0.69,80,0.322857
0.74,80,0.355341
0.71,80,0.386234
1.31,80,0.439721
0.65,80,0.473565
0.57,80,0.504766
0.64,80,0.535725
0.67,80,0.567031
1.31,80,0.59868
0.71,80,0.629783
0.7,80,0.660637
0.7,80,0.6924
0.68,80,0.723905
0.63,80,0.755969
0.65,80,0.787161
0.69,80,0.817936
0.71,80,1.446234
0.7,80,1.478492
0.73,80,1.512333
0.74,80,1.545844
0.62,80,1.576944
1.35,80,1.608985
0.68,80,1.642032
0.68,80,1.674347
0.68,80,1.706026
0.64,80,1.736773
1.31,80,1.766563
0.66,80,1.797422
0.69,80,1.838881
0.76,80,1.870112
0.7,80,1.900894
1.22,80,1.933221
0.67,80,1.965151
0.66,80,1.997049
0.68,80,2.028491
0.69,80,2.060018
0.69,80,2.091419
0.64,80,2.123298
0.75,80,2.154698
1.36,80,2.184748
1.22,80,2.215863
0.63,80,2.254485
0.68,80,2.877854
0.66,80,2.909295
0.66,80,2.940755
0.77,80,2.971801
0.7,80,3.003028
0.64,80,3.03364
0.74,80,3.064244
0.66,80,3.095417
0.59,80,3.12635
0.66,80,3.157336
0.6,80,3.188541
1.31,80,3.223572
0.67,80,3.254451
0.76,80,3.286132
0.73,80,3.318237
0.68,80,3.350272
0.62,80,3.382241
0.64,80,3.412766
0.69,80,3.443486
0.66,80,3.474815
0.74,80,3.505684
0.71,80,3.537384
0.6,80,3.569071
0.62,80,3.600333
0.66,80,3.635237
1.3,80,4.253805
0.69,80,4.285861
0.67,80,4.317548
0.7,80,4.348848
1.31,80,4.379069
1.33,80,4.409682
0.67,80,4.440582
0.75,80,4.47123
1.25,80,4.501869
0.73,80,4.533285
1.37,80,4.564858
0.68,80,4.603418
1.37,80,4.633913
0.63,80,4.66498
0.73,80,4.695703
0.74,80,4.726551
0.68,80,4.75783
0.74,80,4.78831
0.75,80,4.818488
0.6,80,4.849517
0.68,80,4.880646
0.71,80,4.911052
0.71,80,4.942702
1.3,80,4.975033
0.79,80,5.01335
0.68,80,5.045514
0.6,80,5.664198
1.27,80,5.695676
0.68,80,5.727792
0.72,80,5.760557
0.75,80,5.791837
0.68,80,5.822975
0.72,80,5.853952
1.35,80,5.885101
1.3,80,5.916109
1.18,80,5.947097
1.38,80,5.986792
1.33,80,6.018729
0.74,80,6.050914
1.35,80,6.082981
1.23,80,6.114435
0.7,80,6.14538
1.33,80,6.176694
1.28,80,6.208434
1.36,80,6.239648
1.2,80,6.270728
0.7,80,6.301763
0.72,80,6.3323
1.39,80,6.364136
1.26,80,6.402435
0.56,80,6.433226
0.68,80,6.464182
1.27,80,7.07285
0.77,80,7.104104
1.28,80,7.13441
1.3,80,7.166152
1.31,80,7.197452
1.24,80,7.228937
1.23,80,7.259204
1.21,80,7.289448
1.35,80,7.321143
1.34,80,7.359125
0.72,80,7.390411
1.35,80,7.421711
1.35,80,7.451486
0.72,80,7.482635
1.3,80,7.513181
1.38,80,7.54397
1.29,80,7.574284
1.98,80,7.604861
1.28,80,7.634796
1.33,80,7.665252
1.33,80,7.696125
1.34,80,7.726555
0.69,80,7.764265
1.37,80,7.795125
1.31,80,7.826616
1.34,80,8.433318
1.39,80,8.463114
1.35,80,8.494284
1.31,80,8.526986
1.36,80,8.557847
0.56,80,8.588274
1.31,80,8.619351
1.35,80,8.649578
1.29,80,8.680745
1.36,80,8.719697
0.72,80,8.751225
0.54,80,8.781742
1.27,80,8.812851
0.65,80,8.843388
0.72,80,8.874436
0.65,80,8.90567
1.18,80,8.935726
1.35,80,8.966073
1.24,80,8.997318
1.3,80,9.028162
1.31,80,9.058691
1.26,80,9.089637
1.34,80,9.126924
1.31,80,9.158153
1.34,80,9.189318
1.2,80,9.218769
1.36,80,9.825112
1.33,80,9.856919
0.61,80,9.887255
1.33,80,9.917268
1.27,80,9.948711
1.38,80,9.979529
1.24,80,10.011124
1.31,80,10.042799
1.31,80,10.081508
1.31,80,10.113112
1.23,80,10.144221
1.38,80,10.177022
1.34,80,10.209613
1.34,80,10.240255
1.3,80,10.271101
1.33,80,10.301412
1.34,80,10.332522
1.31,80,10.363455
1.32,80,10.394395
1.3,80,10.425097
1.37,80,10.455892
1.35,80,10.493513
1.39,80,10.524797
1.36,80,10.556887
1.29,80,10.588226
1.28,80,11.187483
1.37,80,11.220508
1.29,80,11.250956
0.68,80,11.280977
1.31,80,11.311873
1.35,80,11.342463
1.33,80,11.373526
1.33,80,11.404251
1.31,80,11.444988
1.27,80,11.485613
1.33,80,11.522563
1.36,80,11.553319
1.29,80,11.583334
1.22,80,11.612942
1.35,80,11.64344
1.33,80,11.674286
1.34,80,11.704261
1.33,80,11.734615
1.28,80,11.763469
1.35,80,11.795181
1.33,80,11.825875
1.36,80,11.863418
1.34,80,11.894223
1.38,80,11.924979
1.38,80,11.955636
1.36,80,11.986012
1.38,80,12.607664
1.39,80,12.639276
1.33,80,12.670773
1.34,80,12.70201
1.34,80,12.732989
1.23,80,12.763935
1.3,80,12.794338
1.29,80,12.832527
1.35,80,12.862369
1.29,80,12.892663
1.33,80,12.922802
1.35,80,12.954278
1.34,80,12.987485
1.23,80,13.017068
1.3,80,13.046666
1.36,80,13.077517
1.33,80,13.108737
1.31,80,13.139869
1.28,80,13.172037
1.28,80,13.203674
1.34,80,13.24178
1.27,80,13.273518
1.34,80,13.304428
1.34,80,13.335243
1.37,80,13.365872
1.3,80,13.398116
1.37,80,14.008505
1.34,80,14.039549
1.37,80,14.070029
1.32,80,14.102378
1.35,80,14.132253
1.33,80,14.163596
1.36,80,14.201749
1.32,80,14.2328
1.35,80,14.263753
1.31,80,14.29474
1.27,80,14.325218
1.38,80,14.356717
1.27,80,14.388967
1.25,80,14.419847
1.37,80,14.450065
1.34,80,14.481418
1.33,80,14.513327
1.37,80,14.544255
1.35,80,14.575288
1.31,80,14.612819
1.35,80,14.643575
1.37,80,14.674851
1.33,80,14.705612
1.3,80,14.735565
1.37,80,14.766736
1.32,80,15.392086
1.32,80,15.423787
1.33,80,15.455456
1.35,80,15.48739
1.34,80,15.518632
1.3,80,15.550349
1.31,80,15.591237
1.27,80,15.622424
1.39,80,15.653013
1.29,80,15.684023
1.34,80,15.715258
1.37,80,15.746269
1.32,80,15.776955
1.27,80,15.808624
1.38,80,15.839511
1.29,80,15.871158
1.26,80,15.901198
1.34,80,15.931886
1.3,80,15.963076
1.37,80,15.997749
1.34,80,16.028685
