#{"t_start": 1693157610.5241945, "env_id": "GridRoadEnv-v0"}
r,l,t
0.79,33,0.025594
0.95,33,0.047203
1.23,33,0.066767
0.57,33,0.085368
0.69,33,0.104095
1.3,33,0.129211
0.77,33,0.151711
1.13,33,0.174114
1.36,33,0.19617
0.55,33,0.216997
1.11,33,0.242843
1.18,33,0.265424
0.91,33,0.290592
1.1,33,0.313734
0.62,33,0.335906
0.96,33,0.358996
1.27,33,0.377357
1.84,33,0.396209
0.45,33,0.413277
0.66,33,0.430754
0.98,33,0.446474
0.64,33,0.46397
1.31,33,0.480114
0.6,33,0.496196
0.49,33,0.513184
1.24,33,0.530173
0.6,33,0.54741
0.47,33,0.563904
0.57,33,0.5837
0.54,33,0.602799
1.15,33,0.65322
0.4,33,0.676956
1.2,33,0.702066
0.42,33,0.726315
1.11,33,0.753645
0.67,33,0.777365
0.69,33,0.807499
1.18,33,0.832216
0.52,33,0.855536
1.18,33,0.878589
0.57,33,0.902098
0.49,33,0.922872
0.6,33,0.944087
0.95,33,0.961991
1.17,33,0.984146
0.69,33,0.998872
1.2,33,1.016814
1.24,33,1.032103
0.71,33,1.048593
0.64,33,1.064812
0.93,33,1.081227
0.6,33,1.097604
0.67,33,1.11367
1.16,33,1.12943
0.55,33,1.148547
0.73,33,1.163373
1.14,33,1.179305
0.63,33,1.19487
1.72,33,1.212518
0.79,33,1.227161
0.63,33,1.249178
1.01,33,1.267333
0.58,33,2.401382
0.9,33,2.418248
0.73,33,2.436369
0.42,33,2.453326
1.68,33,2.466622
1.13,33,2.484026
0.63,33,2.500628
1.03,33,2.518212
1.07,33,2.533591
1.25,33,2.552509
0.55,33,2.567292
1.23,33,2.584768
1.37,33,2.600357
1.15,33,2.617604
1.39,33,2.632921
0.6,33,2.648031
0.62,33,2.664241
1.28,33,2.680683
1.0,33,2.696699
1.35,33,2.713383
0.73,33,2.729917
0.68,33,2.745683
1.35,33,2.762691
1.12,33,2.776896
1.49,33,2.791494
1.4,33,2.804306
1.4,33,2.819546
0.62,33,2.832545
1.4,33,2.854061
0.51,33,2.867012
1.26,33,2.881944
1.01,33,2.895641
1.08,33,2.908502
1.17,33,2.922961
1.19,33,2.935977
1.69,33,2.950388
1.29,33,2.964347
